album,fecha,tipo,id
Jazzscape Vol. II,2024-12-20,album,4kdMSwbdXMvGaii1YJmJxh
Jazz Covers Popular Songs,2024-05-13,compilation,21qlc48XMV1CGJmlTKbR2Z
Jazz Over Java,2024-12-16,album,5muuhTxMzRbIeC9YK6sw7J
Jazzscape Vol. I,2024-12-13,album,2Zbi7kJt7dL1OYMTr1LHHC
Jazz Reimagined - Vol I (with Elin Bemark),2024-06-14,single,6MUI758ur4HRKPKWvh9a9W
No Bad Vibes,2024-10-18,single,0fniUtJNAYz6eSOE9HJe32
Somedays,2024-07-26,single,54R5dT9BWKnR2RX9gOFzDK
Jazz,2024-12-20,single,1Z7VrCUmkaZu6QBpqudwL6
Jazzy Cigarette,2024-06-19,single,3zpdIwaPyjtBnIukIPddzZ
Jazz for Relax - Relaxing Jazz BGM,2024-02-15,album,1fHCBcG2fGgE4KpeQIqhso
"Jazz Cafe ☕ Cozy Coffee Shop - Best of Jazz Relax for Study, Work",2024-06-28,compilation,0qVJ7zSdU0vg3MjQm6hJc5
Quite Jazz,2024-01-10,album,6XqloRw5Q7Ud0FXkb3WjgM
Reimagined Oldies,2024-12-13,album,6KXUbDjsUOMYLufSTiXiqg
Jazz Nights,2024-11-29,album,56k9tBJIi51Meio2I5esUw
"Jazz Ballad - Background Jazz for Relax, Cafe Shop, Study, Work",2024-06-28,album,3NPLs90R5xM7dvmLkx9tq3
JazzRevelations,2024-08-30,single,25yJ7QmFtmYSzbtkH6YXKR
We Groovin (with Jazzy),2024-03-01,single,21mqL1eOj7aRJQUwOQakcH
Autumn in Amsterdam,2024-10-31,single,4LMnyTKVoP6gOw4dWsKlFl
Vintage Revived,2024-12-20,album,3QomDqi2K7WI69GBuhdnRw
Jazz Café Delight,2024-03-27,album,7pMN7lIEImiw5Rl0AwmIEk
JAZZFUNK,2024-08-18,single,1rOzU6xJDOoGPwcEfbmYio
Nightingale Jazz,2024-03-30,album,1zxmiT8suw7pgO0scvdBee
Afro Jazz,2024-07-24,single,4iNsaMhhGKcCELGl8kOW4e
Lost in London,2024-11-15,single,09TMbeGosdDW31hP0OnNyF
The Heat,2024-09-06,single,5yz98zU9Q0jqwaBP1ppMI4
Smooth Jazz,2024-08-14,album,3UkKIOmvBRoLpRxR8XIw3b
No Bad Vibes (Extended Mix),2024-12-13,single,5RqBgRljuxsmJNqtoRSvc2
Ocean of Jazz,2024-07-23,single,3V0tevZU37bsgqQLvnB8s3
Tropical Jazz & Bossa,2024-06-01,album,6tFELVzcegw33zS8ISLUAN
Café Jazz 2025 ☕ Cozy Background Music,2024-12-06,compilation,09HS3J7yntHx6WJuMPVch7
"Autumn Jazz - Jazz Relaxation for Work, Study, Coffe Shop",2024-10-18,album,3qEmUZdIhCOUolgOjbLUFh
"Soothing Jazz Instrumental Music for Study, Work - Cozy Coffee Shop Ambience",2024-02-01,album,4WDKogb3oMX14YVjajdeGE
Still Blunted,2024-09-06,album,7roR8DoB7C96sd5ahoiCZJ
Touching Heaven,2024-11-21,single,5lbRvxMrww2GdKMxb8R0SY
Shooting Star,2024-02-02,single,3ULWzIkI8mL1ukNwoUagWl
