artista,biografia
Wim Mertens,"Wim Mertens (b. Neerpelt, Belgium, May 14, 1953) is a Belgian composer, countertenor vocalist, pianist, guitarist, and musicologist.

Mertens studied social and political science at the University of Leuven (graduating in 1975) and musicology at Ghent University; he also studied music theory and piano at the Royal Conservatories of Ghent and Brussels.

In 1978, he became a producer at the then BRT (Belgian Radio and Television). For Radio 2 (Radio Brabant) he produced concerts by Philip Glass <a href=""https://www.last.fm/music/Wim+Mertens"">Read more on Last.fm</a>"
Bohuslav Martinů,"Bohuslav Martinů (8 December 1890, Polička – 28 August 1959, Liestahl) was a Czech composer of modern classical music. He was very prolific, writing almost 400 pieces, among them 6 symphonies, choral works, operas, concertos, including for cello, violin, oboe and five for the piano and his chamber music, including seven string quartets. His artistic history content more creative periods, incl. postimpresionism, neo-classicism, expressionism etc.  <a href=""https://www.last.fm/music/Bohuslav+Martin%C5%AF"">Read more on Last.fm</a>"
Johann Sebastian Bach,"Johann Sebastian Bach (31 March 1685 – 28 July 1750) was a German composer and musician of the late Baroque period. He composed a wide range of music across various instruments and forms, including orchestral works such as the Brandenburg Concertos; solo instrumental pieces like the cello suites and the sonatas and partitas for solo violin; keyboard compositions including the Goldberg Variations and The Well-Tempered Clavier; organ works such as <a href=""https://www.last.fm/music/Johann+Sebastian+Bach"">Read more on Last.fm</a>"
Ludwig van Beethoven,"Ludwig van Beethoven (baptised 17 December 1770 – 26 March 1827) was a German composer and pianist. He is regarded as one of the central figures in the history of Western music. His compositions, which are among the most frequently performed in the classical repertoire, mark a transition from the Classical period to the Romantic era. His career is often divided into three periods: the early period, ending around 1802, in which he developed his compositional style; the middle period <a href=""https://www.last.fm/music/Ludwig+van+Beethoven"">Read more on Last.fm</a>"
Joseph Haydn,"Joseph Haydn (1732–1809) was a leading composer of the classical period, called the “Father of the symphony” and “Father of the string quartet”.

(The name “Franz” was not used in the composer’s lifetime; scholars (and most music publishers and recording companies) use the historically more accurate form of his name, rendered in English as “Joseph Haydn”.)

Haydn was born on 31st March or 12st April 1732 in Rohrau, Austria village near the Hungarian border. <a href=""https://www.last.fm/music/+noredirect/Joseph+Haydn"">Read more on Last.fm</a>"
Christoph Willibald Gluck,"Christoph Willibald (von) Gluck (2 July 1714 - 15 November 1787) was a German composer, one of the most important opera composers of the Classical music era, particularly remembered for Orfeo ed Euridice. Gluck's operatic reforms, eliminating all that was undramatic, were a turning point in the history of the medium.

Gluck's musical legacy was around 35 complete operas, together with numerous ballets and instrumental works. His reforms influenced Wolfgang Amadeus Mozart, particularly his opera Idomeneo (1781). <a href=""https://www.last.fm/music/Christoph+Willibald+Gluck"">Read more on Last.fm</a>"
Wolfgang Amadeus Mozart,"Wolfgang Amadeus Mozart (27 January 1756 – 5 December 1791) was a prolific and influential composer of the Classical period. For many, Mozart is the greatest of all composers. The playful, mercurial genius, who died at 35, left over 600 works (including 41 symphonies, 27 piano concertos, 22 operas, numerous Mass settings, chamber music, piano sonatas, and songs), which reveal one of the most prodigious talents ever known in music. Classical in style <a href=""https://www.last.fm/music/Wolfgang+Amadeus+Mozart"">Read more on Last.fm</a>"
George Frideric Handel,"George Frideric Handel (as he called himself after his change of nationality, as he signed himself, and as he is known in the English-speaking world) (1685–1759) was a German/English baroque composer who was a leading composer of concerti grossi, operas, and oratorios.

Born Georg Friedrich Händel on 23rd February 1685 in Halle an der Saale (Germany), Handel lived most of his life in England, and became English by Act of Parliament in 1727. His most famous piece is the Messiah <a href=""https://www.last.fm/music/+noredirect/George+Frideric+Handel"">Read more on Last.fm</a>"
Manuel de Falla,"Manuel de Falla y Matheu (November 23, 1876 – November 14, 1946) was a Spanish composer of classical music.

Manuel de Falla was born in Cádiz. His early teacher in music was his mother; at the age of 9 he was introduced to his first piano professor. From the late 1890s he studied music in Madrid, piano with José Tragó and composition with Felipe Pedrell. In 1899 by unanimous vote he was awarded the first prize at the piano competition at his school of music <a href=""https://www.last.fm/music/Manuel+de+Falla"">Read more on Last.fm</a>"
Julia Wolfe,"Julia Wolfe (born December 18, 1958) is an American composer. She was born in Philadelphia and works in New York. Wolfe's music is rhythmically vigorous and often clangorously dissonant. As a composer associated with the downtown style of new music she is not averse to drawing on rock and minimalism as primary influences. Her music, however, shows a good deal more rhythmic complexity than is generally found in these genres, hence her music can properly be considered and described as postminimalist. <a href=""https://www.last.fm/music/Julia+Wolfe"">Read more on Last.fm</a>"
Nithyasree Mahadevan,"Dr. Nithyasree Mahadevan, also previously referred to as S. Nithyashri, (born August 25, 1973) is an eminent Carnatic musician and playback singer for film songs in many Indian languages. Her paternal grandmother was the legendary Carnatic vocalist D. K. Pattammal, while her maternal grandfather is the legendary mridangam maestro, Palghat Mani Iyer. Her granduncle is the legendary Carnatic vocalist, D. K. Jayaraman.

Nithyashree has performed in all major sabhas in India and has presented her concerts in many destinations around the world. <a href=""https://www.last.fm/music/Nithyasree+Mahadevan"">Read more on Last.fm</a>"
Richard Strauss,"Richard Strauss (11th June 1864 – 8th September 1949) was a German composer of the late Romantic era and early modern eras, particularly noted for his tone poems and operas which include Der Rosenkavalier and Salome; his lieder, especially his Four Last Songs; and his tone poems Death and Transfiguration, Till Eulenspiegel's Merry Pranks, Also sprach Zarathustra, An Alpine Symphony, and other orchestral works, such as Metamorphosen. Strauss was also a prominent conductor throughout Germany and Austria.  <a href=""https://www.last.fm/music/Richard+Strauss"">Read more on Last.fm</a>"
Fritz Kreisler,"Fritz Kreisler (February 2, 1875 – January 29, 1962) was an Austria-born American violinist and composer; one of the most famous violinists of his day. He is noted for his sweet tone and expressive phrasing. He produced a characteristic sound, which was immediately recognizable as his own. Although he was a violinist of the Franco-Belgian school, his tone and phrasing are nonetheless reminiscent of the gemütlich lifestyle of pre-war Vienna.

Kreisler <a href=""https://www.last.fm/music/Fritz+Kreisler"">Read more on Last.fm</a>"
Tanburi Cemil Bey,"Tanburi Cemil Bey (1871–1916) was a Turkish tanbur, yaylı tanbur, kemençe, and lavta virtuoso and composer, who greatly contributed to the taksim (improvisation on a makam/maqam) genre in Turkish classical music. His son, Mesut Cemil, was an equally renowned tanbur virtuoso.

Cemil Bey was born in Istanbul in 1871, though his precise birth date is uncertain. He took his first lessons in music from Kanuni Ahmet Bey and the violin player Kemani Aleksan, his first instruments thus being the violin and the kanun. <a href=""https://www.last.fm/music/Tanburi+Cemil+Bey"">Read more on Last.fm</a>"
Dimanche FR," <a href=""https://www.last.fm/music/Dimanche+FR"">Read more on Last.fm</a>"
Albert Roussel,"Albert Charles Paul Marie Roussel (April 5, 1869 - August 23, 1937) was a French composer.

Born in Tourcoing, France, Roussel's earliest interest was not in music but mathematics. He spent a time in the French Navy, and in 1889 and 1890 he served on the crew of the frigate Iphigénie. These travels affected him artistically, as many of his musical works would reflect his interest in far off, exotic places.

After resigning from the Navy in 1894 he began to study music seriously with Eugène Gigout <a href=""https://www.last.fm/music/Albert+Roussel"">Read more on Last.fm</a>"
Alban Berg,"Alban Maria Johannes Berg (February 9, 1885 - December 24, 1935) was an Austrian composer. He was a member of the Second Viennese School along with Arnold Schoenberg and Anton Webern, producing works that combined Mahlerian romanticism with a highly personal adaptation of Schoenberg's twelve-tone technique.

Berg was born in Vienna, the third of four children of Johanna and Conrad Berg. His family lived comfortably until the death of his father in 1900. <a href=""https://www.last.fm/music/Alban+Berg"">Read more on Last.fm</a>"
Tushar Dutta," <a href=""https://www.last.fm/music/Tushar+Dutta"">Read more on Last.fm</a>"
Karol Szymanowski,"Karol Maciej Korwin-Szymanowski (1882-1937), was a Polish composer and pianist,

Born on the 3rd October 1882 in Tymoszowka, Poland, he lived between the death of Chopin and the rise of the post-World War II generation of Grażyna Bacewicz and Witold Lutosławski. His style developed in three distinct stages: from a strong affinity with Richard Strauss, Alexander Scriabin and fellow countryman Frédéric Chopin, to flavourings of the Orient, the Mediterranean <a href=""https://www.last.fm/music/Karol+Szymanowski"">Read more on Last.fm</a>"
Charles Koechlin,"Charles Louis Eugène Koechlin (November 27, 1867–December 31, 1950) was a French composer, teacher and writer on music.

Koechlin was born in Paris, and was the youngest child of a large family. His mother’s family came from Alsace and he identified with that region; his maternal grandfather had been the noted philanthropist and textile manufacturer Jean Dollfus, and Koechlin inherited his strongly developed social conscience. His father died when he was 14. <a href=""https://www.last.fm/music/Charles+Koechlin"">Read more on Last.fm</a>"
Murat Salim Tokac," <a href=""https://www.last.fm/music/+noredirect/Murat+Salim+Tokac"">Read more on Last.fm</a>"
Max Reger,"Johann Baptist Joseph Maximilian Reger (19 March 1873 – 11 May 1916) was a German composer, organist, pianist and teacher.

Born in Brand, Bavaria, Reger studied music in Munich and Wiesbaden with Hugo Riemann. In 1901 he settled in Munich, where he taught organ and composition, and from 1907 he worked in Leipzig, where he was music director of the university until 1908 and professor of composition at the conservatoire until his death. He was also active internationally as a conductor and pianist in that period of time. <a href=""https://www.last.fm/music/Max+Reger"">Read more on Last.fm</a>"
Johannes Brahms,"Johannes Brahms (7 May 1833 – 3 April 1897) was a German composer, virtuoso pianist, and conductor of the mid-Romantic period. His music is recognised for its rhythmic vitality and flexible use of dissonance, often combined with carefully crafted yet expressive contrapuntal textures. Brahms adapted traditional forms and techniques from a broad range of earlier composers. His body of work includes four symphonies, four concertos, a Requiem, extensive chamber music <a href=""https://www.last.fm/music/Johannes+Brahms"">Read more on Last.fm</a>"
Pietro Locatelli,"This is mistagged for Pietro Antonio Locatelli; it would help Last.fm if you could correct your tags. <a href=""https://www.last.fm/music/Pietro+Locatelli"">Read more on Last.fm</a>"
Richard Wagner,"Wilhelm Richard Wagner (22 May 1813 – 13 February 1883) was a German composer, theatre director, polemicist, and conductor who is chiefly known for his operas (or, as some of his later works were later known, ""music dramas""). 

Unlike most opera composers, Wagner wrote both the libretto and the music for each of his stage works. Initially establishing his reputation as a composer of works in the romantic vein of Carl Maria von Weber and Giacomo Meyerbeer <a href=""https://www.last.fm/music/Richard+Wagner"">Read more on Last.fm</a>"
Ole Bull,"Ole Borneman Bull (5 February 1810 – 17 August 1880) was a Norwegian violinist.

Born in Bergen his father wished him to be a minister, but he preferred a musical life. When four or five years old, he could play all the songs he heard his mother sing, on the violin, and when nine, he played first violin in the Bergen Theatre orchestra, and was soloist with the Bergen Philharmonic Orchestra.

At 18, he was sent to the University of Christiania, but he failed his examinations. <a href=""https://www.last.fm/music/Ole+Bull"">Read more on Last.fm</a>"
Giuseppe Verdi,"Giuseppe Fortunino Francesco Verdi (La Roncole, Italy, October 9 or 10, 1813 – January 27, 1901) was an Italian Romantic composer, mainly of opera. He was one of the most influential composers in the 19th century. His works are frequently performed in opera houses throughout the world and, transcending the boundaries of the genre, some of his themes have long since taken root in popular culture - such as ""La donna è mobile"" from Rigoletto, ""Va <a href=""https://www.last.fm/music/Giuseppe+Verdi"">Read more on Last.fm</a>"
Stephen Dodgson,"Stephen Dodgson (born 17 March 1924) is a British composer.

During World War II, he served in the Royal Navy. From 1947 to 1949, Dodgson studied at the Royal College of Music, where he later taught composition. In 1950, he visited Italy on a travelling scholarship, after which he taught in various schools and colleges for a number of years. From 1957 he has broadcast regularly on BBC Radio.

Dodgson has written music covering a number of genres, but he is perhaps best known for his guitar music. <a href=""https://www.last.fm/music/Stephen+Dodgson"">Read more on Last.fm</a>"
Pablo Sorozábal,"Pablo Sorozábal Mariezcurrena (September 18, 1897—December 26, 1988) was a Basque-Spanish composer. <a href=""https://www.last.fm/music/Pablo+Soroz%C3%A1bal"">Read more on Last.fm</a>"
Henri Dutilleux,"Henri Dutilleux (1916–2013) was one of the most important French composers of the second half of the 20th century, producing work in the tradition of Maurice Ravel, Claude Debussy, and Albert Roussel, but in a style distinctly his own.

Born on the 22nd January 1916, as a young man Dutilleux studied harmony, counterpoint and piano with Victor Gallois at the Douai Conservatory before leaving for Paris. There from 1933 to 1938 he attended the classes of Jean and Noël Gallon (harmony and counterpoint) <a href=""https://www.last.fm/music/Henri+Dutilleux"">Read more on Last.fm</a>"
