artista,biografia
Astrio," <a href=""https://www.last.fm/music/Astrio"">Read more on Last.fm</a>"
Jacky Terrasson,"By the mid-'90s, pianist Jacky Terrasson was being hailed as one of the bright young lions on the traditional jazz scene. His self-titled 1995 debut for Blue Note Records drew high praise from all corners of the jazz world.

His feathery keyboard touch is coupled with a lot of power and passion, a complete understanding of the blues and improvisation, and Terrasson is also a gifted arranger, putting his own personal stamp on well known tunes. He's <a href=""https://www.last.fm/music/Jacky+Terrasson"">Read more on Last.fm</a>"
Jimmy Dorsey,"Jimmy Dorsey (February 29, 1904 – June 12, 1957) was born in Shenandoah, Pennsylvania, the son of a music teacher, but overshadowed by his younger brother Tommy Dorsey, the prominent musician. He played trumpet in his youth, appearing on stage in a Vaudeville act as early as 1913. He switched to alto saxophone in 1915, and then learned to double on clarinet.badboom <a href=""https://www.last.fm/music/Jimmy+Dorsey"">Read more on Last.fm</a>"
Kin Garcia Trio," <a href=""https://www.last.fm/music/Kin+Garcia+Trio"">Read more on Last.fm</a>"
ORQUESTRA DE JAZZ DE GALICIA," <a href=""https://www.last.fm/music/ORQUESTRA+DE+JAZZ+DE+GALICIA"">Read more on Last.fm</a>"
Candy Dulfer,"Candy Dulfer is an internationally famous Dutch musician who has performed all kinds of songs from pop to jazz to funk and more. A performer since age seven, a bandleader of Funky Stuff since age fourteen, an international recording artist since age nineteen, and a touring player across the world since age twenty, Dulfer's popular work has a huge, wide fan-base. She has recorded and / or performed with many artists including Prince, David A. Stewart of Eurythmics, Van Morrison, Maceo Parker, Sheila E. <a href=""https://www.last.fm/music/Candy+Dulfer"">Read more on Last.fm</a>"
Jimmy Dorsey,"Jimmy Dorsey (February 29, 1904 – June 12, 1957) was born in Shenandoah, Pennsylvania, the son of a music teacher, but overshadowed by his younger brother Tommy Dorsey, the prominent musician. He played trumpet in his youth, appearing on stage in a Vaudeville act as early as 1913. He switched to alto saxophone in 1915, and then learned to double on clarinet.badboom <a href=""https://www.last.fm/music/Jimmy+Dorsey"">Read more on Last.fm</a>"
Oscar Peterson Trio,"Oscar Emmanuel Peterson (15 August 1925 – 23 December 2007) was a Canadian jazz pianist, vocalist and composer. Originally from Montreal, Quebec, Peterson is said to be one of the most technically brilliant and melodically inventive jazz pianists of all time, with a career that lasted more than 65 years.

Some of his musical associates have included Ray Brown, Ben Webster, Milt Jackson, Herb Ellis, Barney Kessel, Ed Thigpen, Niels-Henning Ørsted Pedersen <a href=""https://www.last.fm/music/Oscar+Peterson+Trio"">Read more on Last.fm</a>"
Barry Likumahuwa,"Born in Jakarta June 14th, 1983 in a family that plays jazz for a living, from dad a trombonist, flutist, bassist & a saxophonist. His name is Benny Likumahuwa, a very well known jazz musician in indonesia. While mother a singer, who specializes in brazillian music such as samba & bossanova, but also sings swing jazz standards, they had a group called The Jazz Riders. 

Raised in a jazz & sometimes soul/funk musical enviroment had made Barry fall in love with music itself. <a href=""https://www.last.fm/music/Barry+Likumahuwa"">Read more on Last.fm</a>"
Maynard Ferguson,"Walter ""Maynard"" Ferguson (May 4, 1928 – August 23, 2006) was a Canadian-born jazz trumpet player and bandleader. 

Maynard's first idol was trumpeter Harry James and he first received his music union card at age thirteen.  He left Montreal at age eighteen with close friend and schoolmate, Oscar Peterson and secured a contract recording session work with RCA Victor's prestigious Jazz division. 

He came to prominence playing in Stan Kenton's orchestra, before forming his own band in 1957. <a href=""https://www.last.fm/music/Maynard+Ferguson"">Read more on Last.fm</a>"
