artista,biografia
['Rocío Dúrcal'],"Rocío Dúrcal (October 4, 1944 - March 25, 2006), María de los Ángeles de Las Heras Ortiz, was a Spanish singer and actress. Her birth and death both occurred in Madrid, Spain. She was affectionally known as ""the most Mexican of Spaniards"" by her adoring Mexican fans.

She was discovered in singing contests at the age of 15 and offered a role at 17 in Canción de Juventud. After acting in several films she married Filipino-Spanish singer Antonio Morales (a. <a href=""https://www.last.fm/music/+noredirect/Roc%C3%ADo+D%C3%BArcal"">Read more on Last.fm</a>"
['Sombra y Luz']," <a href=""https://www.last.fm/music/Sombra+y+Luz"">Read more on Last.fm</a>"
['Fleur East'],"Fleur East is a London singer, rapper, songwriter and model from London, UK. She participated in the 2014 series of The X Factor UK and finished in 2nd place. She released her debut EP, ''She'', in late 2013. <a href=""https://www.last.fm/music/Fleur+East"">Read more on Last.fm</a>"
['Tino Casal'],"Tino Casal (José Celestino Casal Álvarez) born in Asturias in 1950 died in Madrid in 1991 due to a car accident.

He belonged to what has been named ""La movida madrileña"" of the 1980's

Discography:

   1. Neocasal (1981)
   2. Etiqueta Negra (1983)
   3. Hielo Rojo (1984)
   4. Lágrimas de Cocodrilo (1987)
   5. Histeria (1990)

 <a href=""https://www.last.fm/music/Tino+Casal"">Read more on Last.fm</a>"
['JENCARLOS'],"Jencarlos Canela (born April 21, 1988) is an American actor and musician. He is best known for playing the leading roles in the telenovelas Más Sabe el Diablo and Mi Corazón Insiste.

Canela was born in Miami, Florida, to Cuban parents. His father came from Cuba to the United States on the Mariel Boatlift. He graduated in 2006 from the New World School of the Arts in Miami, Florida, with honors. Canela began his music career at the age of 12, in the Miami based band Boom Boom Pop. <a href=""https://www.last.fm/music/Jencarlos"">Read more on Last.fm</a>"
['DJ Antoine'],"The house scene today would be unimaginable without DJ Antoine. Always well turned out and being wooed by top sponsors (Paco Rabanne, Hummer (General Motors), Campary, SKYY Vodka, Moonlight, Chupa Chups, J. Lindeberg, Y3, Podspeakers, Numark etc.), this trendsetter is also an attention-getter.

Following a 10-year sprayer career as a bad boy in Basel's hip-hop scene, Antoine was gripped by the pumpin' house wave and has ridden it to the max ever since. <a href=""https://www.last.fm/music/DJ+Antoine"">Read more on Last.fm</a>"
['Sergio Dalma'],"Sergio Dalma is a Catalan pop singer. He was born as Josep Sergi Capdevila Querol on September 28, 1964 in Sabadell (near Barcelona).

Sergio Dalma started his career singing in bands and doing chorus, until he won the TV program ""Gent d'aqui"", in the Catalan station of TVE, which won him a regular contract to sing in the Shadows night-club in Barcelona. Sergio signed up with the record company Horus, and edited his first album, ""Esa chica es mia"", in 1989. <a href=""https://www.last.fm/music/Sergio+Dalma"">Read more on Last.fm</a>"
['Loquillo']," <a href=""https://www.last.fm/music/Loquillo"">Read more on Last.fm</a>"
['El Palacio de Linares']," <a href=""https://www.last.fm/music/El+Palacio+De+Linares"">Read more on Last.fm</a>"
['Marco Mengoni'],"Marco Mengoni is an Italian pop singer-songwriter who rose to fame in 2009, after winning the third season of the Italian talent show X Factor. Since that he has sold over 2.8 million records in Italy, topping the Italian albums chart seven consecutive times and entering the Top 10 Italian Singles Chart fifteen times.

He won the Sanremo Music Festival in 2013 (with ""L'Essenziale"") and again in 2023 (with ""Due Vite).

Mengoni has received several awards during his career <a href=""https://www.last.fm/music/Marco+Mengoni"">Read more on Last.fm</a>"
