artista,biografia
Gari,"There are several artists with this name.

1) GARI is a Japanese electronic rock band. When they started out in 1997, the music they created were rock sounds spiced with funk and other type of music. At the time, they were a group of three with one guitarist (Yutaka Dokko), one bassist (Naoki Fujimoto) and one drummer (Kei Kusakabe). However, as soon as YOW-ROW, the vocalist, joined the lineup, their sound changed to a more electronic based one.
 <a href=""https://www.last.fm/music/Gari"">Read more on Last.fm</a>"
Joan Colomo," <a href=""https://www.last.fm/music/Joan+Colomo"">Read more on Last.fm</a>"
Familia Caamagno," <a href=""https://www.last.fm/music/Familia+Caamagno"">Read more on Last.fm</a>"
Los Negativos,"Los Negativos es un grupo español de música rock-pop formado en Barcelona en 1984 por Alfredo Calonge (voz y guitarra), Carles Estrada (voz y bajo), Roberto Grima (guitarra) y Valentín Morato (batería). Su música entroncaba con el pop psicodélico de los años 60, con influencias como los Byrds, los Beatles de la época de Rubber Soul y otros grupos clásicos de la psicodelia estadounidense y británica. Aunque tuvieron un éxito bastante discreto <a href=""https://www.last.fm/music/Los+Negativos"">Read more on Last.fm</a>"
Igor Paskual," <a href=""https://www.last.fm/music/Igor+Paskual"">Read more on Last.fm</a>"
Los Hermanos Cubero," <a href=""https://www.last.fm/music/Los+Hermanos+Cubero"">Read more on Last.fm</a>"
Sergio Dalma,"Sergio Dalma is a Catalan pop singer. He was born as Josep Sergi Capdevila Querol on September 28, 1964 in Sabadell (near Barcelona).

Sergio Dalma started his career singing in bands and doing chorus, until he won the TV program ""Gent d'aqui"", in the Catalan station of TVE, which won him a regular contract to sing in the Shadows night-club in Barcelona. Sergio signed up with the record company Horus, and edited his first album, ""Esa chica es mia"", in 1989. <a href=""https://www.last.fm/music/Sergio+Dalma"">Read more on Last.fm</a>"
Loquillo," <a href=""https://www.last.fm/music/Loquillo"">Read more on Last.fm</a>"
Petti,"There are many artists known as Petti:

1. Petti is an acclaimed Basque singer-songwriter usually described as existentialist. He released (up to 2010) 6 solo albums and a split with Anari as Anari ta Petti. His music has been compared to artists like Billy Bragg, Tim Buckley, Nick Drake, Nick Cave, or Tom Waits.

2. A Finnish rap artist. <a href=""https://www.last.fm/music/Petti"">Read more on Last.fm</a>"
Lauroba," <a href=""https://www.last.fm/music/Lauroba"">Read more on Last.fm</a>"
Altxatu," <a href=""https://www.last.fm/music/Altxatu"">Read more on Last.fm</a>"
Bomba Estéreo,"Bomba Estéreo is a (cumbia + electronic music) band formed in Bogotá,  Colombia in 2005 and led by Simón Mejía. In 2007 they released their debut album Vol. 1. 

Currently the band has finished promoting its second album  Estalla throughout Europe, Latin America and the United States, and is preparing the recording of a third album.

The original lineup consists of:
Simon Mejía, Songwriting, Bass, Loops and Backing Vocals.
Li Saumet, Lyrics, Lead Vocals. <a href=""https://www.last.fm/music/+noredirect/Bomba+Est%C3%A9reo"">Read more on Last.fm</a>"
Jammin´ Dose," <a href=""https://www.last.fm/music/Jammin%C2%B4+Dose"">Read more on Last.fm</a>"
Los Rebeldes,"Los Rebeldes is a Spanish Rock and Roll / Rockabilly band from Barcelona formed in 1979 by Carlos Segarra (vocals & guitar), Aurelio Morata (bass) & Moises Sorolla (drums). They recorded his first album in 1981, tittled ""Cerveza, chicas y... Rockabilly"" (Beers, girls and... Rockabilly). <a href=""https://www.last.fm/music/Los+Rebeldes"">Read more on Last.fm</a>"
Aerolineas Federales,"Aerolíneas Federales were a Spanish pop/rock band from the decade of the 80's. It was formed in Vigo, Galicia.

Formed in Vigo in 1981 by Miguel Costas and his friends Flechi and Silvino. In their beginnings, they worked with guitar, bass and beatbox. By 1983, the group incorporate a drum-kit and Flechi becomes into the singer of the band. That same year, win the rock contest of Radio 3 at Coruña and Flechi leaves the band to belong the group Las Termitas. Flechi died from a heart-attack in London in 2002. <a href=""https://www.last.fm/music/+noredirect/Aerolineas+Federales"">Read more on Last.fm</a>"
Pep Sala," <a href=""https://www.last.fm/music/Pep+Sala"">Read more on Last.fm</a>"
Arco,"There are three groups by the name of Arco:

1. Arco are a British band noted for unusually slow, quiet, poetic music: a gig review in national newspaper The Guardian suggested ""an hour in arco's company is the aural equivalent of a day in a flotation tank"". Similarly, a review in Q, a UK monthly music magazine, described first album Coming To Terms as ""the aural equivalent of a human being pausing for thought as the world speeds on around"".

2. Arco (Antonio Arco)  is the former singer from the Spanish band ""El Puchero del Hortelano"". <a href=""https://www.last.fm/music/Arco"">Read more on Last.fm</a>"
Nocturnos," <a href=""https://www.last.fm/music/Nocturnos"">Read more on Last.fm</a>"
Cybee,"CyBee is a Catalan band of four members, Jordi Vilaseca (drums), Marc Colomer (guitar), Aleix Marti (vocals and bass) and Nile Miller (vocals, guitar). 
Their music is mainly Pop -rock with touches ranging from alternative rock to folk and even funk. 

CyBee spent many years playing music, in 2012 they made acoustic tour through the streets and squares of towns. They also cover some songs and even parody them.
Their last album was released in April 2012. <a href=""https://www.last.fm/music/CyBee"">Read more on Last.fm</a>"
Comandante Twin," <a href=""https://www.last.fm/music/Comandante+Twin"">Read more on Last.fm</a>"
Physis Versus Nomos," <a href=""https://www.last.fm/music/Physis+versus+nomos"">Read more on Last.fm</a>"
Eskean Kristö," <a href=""https://www.last.fm/music/Eskean+Krist%C3%B6"">Read more on Last.fm</a>"
Rukula," <a href=""https://www.last.fm/music/RUKULA"">Read more on Last.fm</a>"
Maki,"There are many artists with this name:
[br]
[br]
1) Alternative / city pop singer-songwriter Maki shares his music to the world with easy and melodic tunes despite his songs being heartbreaking and painful. His biggest 2023 song “ Saan?” has brought him to different places in the Philippines, and has captured both local and international audiences. Penning  Tanong EP that put him to where he is, another question is posed - where will he go next? <a href=""https://www.last.fm/music/Maki"">Read more on Last.fm</a>"
Embusteros," <a href=""https://www.last.fm/music/Embusteros"">Read more on Last.fm</a>"
Bantastic Fand," <a href=""https://www.last.fm/music/Bantastic+Fand"">Read more on Last.fm</a>"
The Prussians," <a href=""https://www.last.fm/music/The+Prussians"">Read more on Last.fm</a>"
Bastille,"Bastille is an indie rock band from South London, England that formed in 2010. Bastille started out as a solo project by singer-songwriter Dan Smith, who later decided to form a band. The quartet consists of Dan Smith, Chris 'Woody' Wood, Will Farquarson and Kyle Simmons. The name of the band comes from Bastille Day, which was the day when Smith was born. Bastille released their album 'Give Me the Future' on 4 February 2022, to international critical acclaim. <a href=""https://www.last.fm/music/Bastille"">Read more on Last.fm</a>"
Xiula,"Xiula és una experiència única d’animació musical: fem cançons, pròpies i per encàrrec, creem espectacles i en general, liem pollastres importants que animen a tot tipus de públic.

I tot amb una mirada farandulera però professional, treballem amb contiguts crítics i amb esperit. Estem molt connectats al món de l’educació i a les necessitats i conflictes de les persones i la nostra societat.

Ah! I no parem quiets: també hem fet i farem llibres <a href=""https://www.last.fm/music/Xiula"">Read more on Last.fm</a>"
Bluestain," <a href=""https://www.last.fm/music/Bluestain"">Read more on Last.fm</a>"
Eraso!,"Eraso! (Attack!) is a Basque Metal band formed in 1996. After 2 Demos and 150 concerts they recorded their first studio album ""Erantzunik gabe"" (Without an answer) in 1999, and were selected by Slayer as support band during 2000. Their second album ""Oraina eta geroa"" (Present and future) recorded more professionally, was an inflection point in their career, during this time they shared stage with bands like Machine Head, Sepultura or Napalm Death. <a href=""https://www.last.fm/music/Eraso%21"">Read more on Last.fm</a>"
Oskorri,"Oskorri is a basque folk group, that has been a referent for later basque folk groups. They´ve been playing for the last 30 years more or less, having a very wide range of followers, from the elders to the youngsters.

They played their own tunes and remakes on the popular basque repertoire. <a href=""https://www.last.fm/music/Oskorri"">Read more on Last.fm</a>"
Atzembla," <a href=""https://www.last.fm/music/Atzembla"">Read more on Last.fm</a>"
The Kleejoss Band," <a href=""https://www.last.fm/music/The+Kleejoss+Band"">Read more on Last.fm</a>"
Os Resentidos,"Os Resentidos (The Resentfuls) was a Galician rock band founded in the year 1984 by Antón Reixa (well-known galician poet and film maker), Alberto Torrado and Javier Soto. Javier later left the band, being replaced by Xabier Debesa. Antón Reixa wrote the songs while the other two played the music. The instrumentation ranged from traditional Galician bagpipes (gaitas) to synthesizers electric guitars and bass. Os Resentidos disbanded in 1994.

Their most recognizable hit was ""Fai un sol de carallo"" (1986) <a href=""https://www.last.fm/music/Os+Resentidos"">Read more on Last.fm</a>"
La Porta Dels Somnis," <a href=""https://www.last.fm/music/La+Porta+dels+Somnis"">Read more on Last.fm</a>"
Track Dogs," <a href=""https://www.last.fm/music/Track+Dogs"">Read more on Last.fm</a>"
The Oddballs," <a href=""https://www.last.fm/music/The+Oddballs"">Read more on Last.fm</a>"
Young Forest," <a href=""https://www.last.fm/music/Young+Forest"">Read more on Last.fm</a>"
Tano!,"The seed of the power duo Tano! was planted in 2014, stemming from Hurricäde's posthumous concerts sharing stage and tour with the also-defunct Anchord. Germination arose in 2015, when Oskar Garcia and Víctor Pelusa got together more and more regularly in the rehearsal room, from which a musical spell of all original crazy, dissonant, rhythmic and dynamic songs, sung entirely in Catalan and in constant search of new sensations that are reflected <a href=""https://www.last.fm/music/TANO%21"">Read more on Last.fm</a>"
Terratombats," <a href=""https://www.last.fm/music/Terratombats"">Read more on Last.fm</a>"
Bely Basarte," <a href=""https://www.last.fm/music/Bely+Basarte"">Read more on Last.fm</a>"
Lildami," <a href=""https://www.last.fm/music/LILDAMI"">Read more on Last.fm</a>"
Salto,"1. Salto is a 3-piece electropop band from Portugal. 

2. A live electronic / jungle / trip-hop / slavic archaic songs / nu Jazz / breaks band from Russia.
http://thesalto.ru/ <a href=""https://www.last.fm/music/Salto"">Read more on Last.fm</a>"
Bultz!," <a href=""https://www.last.fm/music/Bultz%21"">Read more on Last.fm</a>"
Pepet I Marieta,"'Pepet i marieta' is the band of Josep Bordes, a catalan from Ulldecona (Tarragona, Spain). He is the only member of the band (the translation for the band's name is ""Pepet and 'little' Maria""). 

His first big album was 'Sempre hi ha un pedaç pa un descosit', coming after winning two local contests : Sona 9 and Ebre Musik. Before that one, he edited 'Quatre xispis i una canyeta...' on his own.

Right now is one of the most famous folk musician in Catalunya. <a href=""https://www.last.fm/music/Pepet+I+Marieta"">Read more on Last.fm</a>"
Correcaminos Rock and Roll Band," <a href=""https://www.last.fm/music/Correcaminos+Rock+and+Roll+Band"">Read more on Last.fm</a>"
Pablo Valdés," <a href=""https://www.last.fm/music/Pablo+Vald%C3%A9s"">Read more on Last.fm</a>"
Pelax," <a href=""https://www.last.fm/music/Pelax"">Read more on Last.fm</a>"
Rulo y la contrabanda," <a href=""https://www.last.fm/music/Rulo+y+la+contrabanda"">Read more on Last.fm</a>"
