artist,bio
Thomas James White," <a href=""https://www.last.fm/music/Thomas+James+White"">Read more on Last.fm</a>"
James Malikey," <a href=""https://www.last.fm/music/James+Malikey"">Read more on Last.fm</a>"
Rick Oli," <a href=""https://www.last.fm/music/Rick+oli"">Read more on Last.fm</a>"
Leblanc," <a href=""https://www.last.fm/music/+noredirect/LeBlanc"">Read more on Last.fm</a>"
Clara Schumann,"Clara Josephine Wieck de Schumann (Leipzig, 13 de septiembre de 1819 – Fráncfort del Meno, 20 de mayo de 1896), esposa del compositor Robert Schumann, fue una de las principales pianistas de la época romántica, además de compositora.

Pianista y compositora del siglo XIX:

Clara Schumann (1819-1896) fue, sin duda alguna, la pianista más importante del siglo XIX. El público europeo la consideraba tan buena como Franz Liszt (1811-1886) o Sigismund Thalberg (1812-1871), otros pianistas virtuosos famosos en aquella época. <a href=""https://www.last.fm/music/Clara+Schumann"">Read more on Last.fm</a>"
Jozef De Schutter," <a href=""https://www.last.fm/music/Jozef+De+Schutter"">Read more on Last.fm</a>"
Pyotr Ilyich Tchaikovsky,"Piotr Ilich Chaikovski ​ ​ fue un compositor ruso del período del Romanticismo. Es autor de algunas de las obras de música clásica más famosas del repertorio actual, como los ballets El lago de los cisnes, La bella durmiente y El cascanueces, la Obertura 1812, la obertura-fantasía Romeo y Julieta, el Primer concierto para piano, el Concierto para violín, sus sinfonías Cuarta, Quinta y Sexta y la ópera Eugenio Oneguin y La dama de picas. <a href=""https://www.last.fm/music/Pyotr+Ilyich+Tchaikovsky"">Read more on Last.fm</a>"
Frédéric Chopin,"Fryderyk Franciszek Chopin (Żelazowa Wola, Polonia, aprox. 1 de marzo de 1810 — París, 17 de octubre de 1849) -en francés, Frédéric François Chopin- es considerado el más grande compositor polaco, y también uno de los más importantes pianistas de la historia. Su perfección técnica, su refinamiento estilístico y su elaboración armónica han sido comparadas históricamente con las de Johann Sebastian Bach y Wolfgang Amadeus Mozart por su perdurable influencia en la música de tiempos posteriores. <a href=""https://www.last.fm/music/+noredirect/Fr%C3%A9d%C3%A9ric+Chopin"">Read more on Last.fm</a>"
Fanny Mendelssohn,"Fanny Cäcilie Mendelssohn (Hamburgo, 14 de noviembre de 1805-Berlín, 14 de mayo de 1847), también conocida como Fanny Mendelssohn Bartholdy y por matrimonio Fanny Mendelssohn Hensel, fue una compositora y pianista del Romanticismo temprano. Sus composiciones incluyen un trío para piano, un cuarteto para piano, una obertura orquestal, cuatro cantatas, más de 125 piezas para piano y más de 250 lieder, la mayoría de las cuales se publicaron de forma póstuma. <a href=""https://www.last.fm/music/Fanny+Mendelssohn"">Read more on Last.fm</a>"
Feuerschwanz," <a href=""https://www.last.fm/music/Feuerschwanz"">Read more on Last.fm</a>"
Mofjell," <a href=""https://www.last.fm/music/Mofjell"">Read more on Last.fm</a>"
Andreas Hauschild," <a href=""https://www.last.fm/music/Andreas+Hauschild"">Read more on Last.fm</a>"
Omar Raafat," <a href=""https://www.last.fm/music/Omar+Raafat"">Read more on Last.fm</a>"
Sergei Rachmaninoff,"Serguéy Vasílievich Rachmaninov (Серге́й Васи́льевич Рахма́нинов) (Semiónovo, 1 de abril de 1873 — Beverly Hills (Los Ángeles, EE.UU.), 28 de marzo de 1943), fue un destacado compositor, pianista y director de orquesta ruso, uno de los últimos grandes compositores romanticistas de la música clásica Europea, actualmente considerado uno de los pianistas más influyentes del siglo XX.

Algunas traducciones en otros idiomas para su nombre incluyen Sergey o Serge y Rachmaninov <a href=""https://www.last.fm/music/Sergei+Rachmaninoff"">Read more on Last.fm</a>"
Daniel Paterok," <a href=""https://www.last.fm/music/Daniel+Paterok"">Read more on Last.fm</a>"
Andrei Irimia," <a href=""https://www.last.fm/music/Andrei+Irimia"">Read more on Last.fm</a>"
Emilia Branco," <a href=""https://www.last.fm/music/Emilia+Branco"">Read more on Last.fm</a>"
Johannes Brahms,"Johannes Brahms (7 de mayo de 1833 - 3 de abril de 1897) Fue un pianista y compositor Aleman de música clásica del romanticismo. A Brahms se le considera el más clásico de los compositores románticos, manteniéndose fiel toda su vida al clasicismo romántico y conservador influenciado por Mozart, Haydn y en especial Beethoven. Fue posiblemente el mayor representante del círculo conservador en la “Guerra de los románticos”. Sus oponentes <a href=""https://www.last.fm/music/Johannes+Brahms"">Read more on Last.fm</a>"
Max Richter,"Max Richter (b. 1966) es un compositor alemán, que ahora vive en el Reino Unido.

Richter se formó en piano y composición en la Universidad de Edimburgo, la Royal Academy of Music, y con Luciano Berio en Florencia. La información disponible en su propio sitio web afirma que ""su primera música es principalmente Modernismo duro: muy influida por Xenakis"".

Después de terminar sus estudios, Richter co-fundó el conjunto clásico contemporáneo Piano Circus <a href=""https://www.last.fm/music/Max+Richter"">Read more on Last.fm</a>"
Joshua Kyan Aalampour," <a href=""https://www.last.fm/music/Joshua+Kyan+Aalampour"">Read more on Last.fm</a>"
Moayad Aljabal," <a href=""https://www.last.fm/music/Moayad+Aljabal"">Read more on Last.fm</a>"
Ian Fontova," <a href=""https://www.last.fm/music/Ian+Fontova"">Read more on Last.fm</a>"
Hendyamps Studios," <a href=""https://www.last.fm/music/Hendyamps+Studios"">Read more on Last.fm</a>"
Thomas Klak," <a href=""https://www.last.fm/music/Thomas+Klak"">Read more on Last.fm</a>"
Music Within," <a href=""https://www.last.fm/music/Music+Within"">Read more on Last.fm</a>"
George Frideric Handel,"Georg Friedrich Händel (Halle, 23 de febrero de 1685 – Londres, 14 de abril de 1759) fue un compositor de origen alemán, posteriormente nacionalizado inglés, considerado una de las cumbres del Barroco y uno de los mejores y más influyentes compositores de la música occidental. En la historia de la música, es el primer compositor moderno en haber adaptado y enfocado su música para satisfacer los gustos y necesidades del público, en vez de los de la nobleza y de los mecenas, como era habitual. <a href=""https://www.last.fm/music/+noredirect/George+Frideric+Handel"">Read more on Last.fm</a>"
Ludwig van Beethoven,"Ludwig van Beethoven (Bonn, 16 de diciembre de 1770 — Viena, 26 de marzo de 1827) fue un compositor y pianista alemán. Su legado musical se extendió, cronológicamente, desde el período clásico hasta inicios del romanticismo musical.
Considerado el último gran representante del clasicismo vienés (después de Gluck, Haydn y Mozart), Beethoven consiguió hacer trascender a la música del romanticismo, motivando a la influencia de la misma en una diversidad de obras musicales a lo largo del siglo XIX. <a href=""https://www.last.fm/music/Ludwig+van+Beethoven"">Read more on Last.fm</a>"
Sherwood Roberts," <a href=""https://www.last.fm/music/Sherwood+Roberts"">Read more on Last.fm</a>"
