artist,bio
Lisa Bassenge," <a href=""https://www.last.fm/music/Lisa+Bassenge"">Read more on Last.fm</a>"
Saginaw Society," <a href=""https://www.last.fm/music/Saginaw+Society"">Read more on Last.fm</a>"
Ferragno," <a href=""https://www.last.fm/music/Ferragno"">Read more on Last.fm</a>"
John Lee," <a href=""https://www.last.fm/music/John+Lee"">Read more on Last.fm</a>"
The Dox Band," <a href=""https://www.last.fm/music/The+Dox+Band"">Read more on Last.fm</a>"
Yusef Lateef,"William Emanuel Huddleston (Chatanooga, 9 de octubre de 1920), Yusef Lateef, es un flauta, oboe y saxofón (tenor) estadounidense, encuadrado habitualmente como músico de jazz, aunque su ámbito estilístico es el de la vanguardia musical en general: hard bop, new age, músicas del mundo, etc.

Lateef creció en Detroit y empezó tocando el saxo tenor a los 17 años. Trabajó con Lucky Millinder (1946), Hot Lips Page, Roy Eldridge y con la big band de Dizzy Gillespie (1949-50). <a href=""https://www.last.fm/music/Yusef+Lateef"">Read more on Last.fm</a>"
Carlton Maison Quartet," <a href=""https://www.last.fm/music/Carlton+Maison+Quartet"">Read more on Last.fm</a>"
Grace Carey," <a href=""https://www.last.fm/music/Grace+Carey"">Read more on Last.fm</a>"
Naama," <a href=""https://www.last.fm/music/Naama"">Read more on Last.fm</a>"
Hamilton Jones," <a href=""https://www.last.fm/music/Hamilton+Jones"">Read more on Last.fm</a>"
Marc & Friends," <a href=""https://www.last.fm/music/Marc+&+Friends"">Read more on Last.fm</a>"
Ikigai," <a href=""https://www.last.fm/music/Ikigai"">Read more on Last.fm</a>"
Delicatessen,"Hasta ahora se conocen hasta 3 bandas con el nombre de Delicatessen. 

1. Cuarteto de Porto Alegre(Brasil) que se dedican a recrear clásicos del jazz, algunos con toques levemente salpicados por los sabores de la bossa nova. 

2. Banda de Hip-Hop / Rap japonesa, más conocida por su participacion en el ending numero 18 del anime One Piece con la canción ''Adventure World''. La banda ha entrado en un hiatus indefinido.

http://www.avexnet.or.jp/delicatessen/index.html

3. Banda de Rock Alternativo de EE. UU. <a href=""https://www.last.fm/music/Delicatessen"">Read more on Last.fm</a>"
The Mill Basin Band," <a href=""https://www.last.fm/music/The+Mill+Basin+Band"">Read more on Last.fm</a>"
Ivory Soul Trio," <a href=""https://www.last.fm/music/Ivory+Soul+Trio"">Read more on Last.fm</a>"
Ibrahim Maalouf," <a href=""https://www.last.fm/music/Ibrahim+Maalouf"">Read more on Last.fm</a>"
Stella Cole," <a href=""https://www.last.fm/music/Stella+Cole"">Read more on Last.fm</a>"
Kenny Barron,"Kenny Barron (nacido el 9 de junio de 1943 en Philadelphia), es un pianista estadounidense de jazz.

Es el hermano menor del saxofonista tenor Bill Barron, y es conocido por su estilo lírico y flexible. Saltó a la fama musical cuando tocó el piano en el cuarteto de Dizzy Gillespie en los años sesenta. Ha trabajado con cientos de músicos de primera fila, como Yusef Lateef, James Moody, Joe Henderson, Freddie Hubbard, Buddy Rich, Ron Carter, Chet Baker, Benny Carter, Stan Getz, Regina Carter y Ornette Coleman. <a href=""https://www.last.fm/music/Kenny+Barron"">Read more on Last.fm</a>"
Alex Laude," <a href=""https://www.last.fm/music/Alex+Laude"">Read more on Last.fm</a>"
Duponte et Duponte," <a href=""https://www.last.fm/music/Duponte+et+Duponte"">Read more on Last.fm</a>"
Claire Martinelle," <a href=""https://www.last.fm/music/Claire+Martinelle"">Read more on Last.fm</a>"
Ennio Máno," <a href=""https://www.last.fm/music/Ennio+M%C3%A1no"">Read more on Last.fm</a>"
Susie Arioli," <a href=""https://www.last.fm/music/Susie+Arioli"">Read more on Last.fm</a>"
Irvin Smith Group," <a href=""https://www.last.fm/music/Irvin+Smith+Group"">Read more on Last.fm</a>"
Club des Belugas,"Club de beluga es un proyecto de nujazz, fundado por Maxim Illion y Kitty the Bill en 2002. CdB ha publicado 4 álbumes ""caviar at 3 a.m."" (2002), ""minority tunes"" (2003), ""apricoo soul"" (2006) y SWOP (2008) .

Club de  los Belugas es uno de los lideres del lounge y nujazz en Alemania, tal vez en Europa. Combinan Lounge Contemporáneo Europeo & Estilos Nujazz con Beats de Brasil y de Soul de los años cincuenta, sesenta y setenta, usando su creatividad única y la intensidad. <a href=""https://www.last.fm/music/Club+Des+Belugas"">Read more on Last.fm</a>"
Osmond Beliér," <a href=""https://www.last.fm/music/Osmond+Beli%C3%A9r"">Read more on Last.fm</a>"
Snorre Kirk," <a href=""https://www.last.fm/music/Snorre+Kirk"">Read more on Last.fm</a>"
Mike Coen," <a href=""https://www.last.fm/music/Mike+Coen"">Read more on Last.fm</a>"
Kendrettes," <a href=""https://www.last.fm/music/Kendrettes"">Read more on Last.fm</a>"
Jeremy Ledbetter Trio," <a href=""https://www.last.fm/music/Jeremy+Ledbetter+Trio"">Read more on Last.fm</a>"
Ballroom Jazz Collective," <a href=""https://www.last.fm/music/Ballroom+Jazz+Collective"">Read more on Last.fm</a>"
Sara Aldén," <a href=""https://www.last.fm/music/Sara+Ald%C3%A9n"">Read more on Last.fm</a>"
Lara Louise," <a href=""https://www.last.fm/music/Lara+Louise"">Read more on Last.fm</a>"
Charlie James-Walker," <a href=""https://www.last.fm/music/Charlie+James-Walker"">Read more on Last.fm</a>"
Avery Miller," <a href=""https://www.last.fm/music/Avery+Miller"">Read more on Last.fm</a>"
Art Beckett," <a href=""https://www.last.fm/music/Art+Beckett"">Read more on Last.fm</a>"
Mosaic Jazz Trio," <a href=""https://www.last.fm/music/Mosaic+Jazz+Trio"">Read more on Last.fm</a>"
Søren Bebe Trio," <a href=""https://www.last.fm/music/+noredirect/S%C3%B8ren+Bebe+Trio"">Read more on Last.fm</a>"
Reverie Trio," <a href=""https://www.last.fm/music/Reverie+Trio"">Read more on Last.fm</a>"
