artist,bio
R3HAB,"R3hab cuyo nombre real es Fadil El Ghoul es un disc jockey y productor holandés de música electrónica, orientado al género Electro House y Tech House.

En un corto período Fadil El Ghould AKA R3hab, ha establecido firmemente su nombre en la escena house holandesa.
Después de la exitosa remezcla en colaboración de Hardwell, de “Toys Are Nuts” para Chuckie obtuvo el respaldo de varios renombrados DJs del mundo. El sencillo también en colaboración del productor holandés Hardwell <a href=""https://www.last.fm/music/R3hab"">Read more on Last.fm</a>"
NAYEON,"Im Na-yeon, conocida artísticamente como Nayeon es una cantante, modelo, actriz, compositora y bailarina surcoreana que, después de participar en el reality show televisivo de supervivencia Sixteen en 2015, se convirtió en parte del grupo femenino, Twice formado por JYP Entertainment. <a href=""https://www.last.fm/music/NAYEON"">Read more on Last.fm</a>"
Morgan Wallen,"Morgan Wallen (nacido el 13 de mayo de 1993 en Sneedville, Tennessee ) es un artista de música country estadounidense. Él firmó con Big Loud Records y lanzó una obra extendida y un sencillo, ""The Way I Talk"". Su padre era predicador, y cuando era niño, Wallen tomó clases de piano y violín. Jugó al béisbol en la universidad, pero optó por buscar música en su lugar después de una lesión. En 2014, compitió en la temporada 6 de The Voice , pero fue eliminado.  <a href=""https://www.last.fm/music/Morgan+Wallen"">Read more on Last.fm</a>"
Iuly Neamtu," <a href=""https://www.last.fm/music/Iuly+Neamtu"">Read more on Last.fm</a>"
Omar Montes," <a href=""https://www.last.fm/music/Omar+Montes"">Read more on Last.fm</a>"
Raule," <a href=""https://www.last.fm/music/RaulE"">Read more on Last.fm</a>"
Manuel Turizo,"Manuel Turizo o también conocido como Manuel Turizo Zapata (MTZ) es un cantante colombiano de reggaeton y pop latino.
Popularmente conocido por su canción ""Una Lady Como Tú"", canción que lo hizo darse a conocer y lograr expandir su carrera en América Latina así de igual forma en países europeos como España.

""Una Lady Como Tú"" fue nominada para los premios Kids Choice Awards Colombia como canción favorita en el año 2017, además de que recibió múltiples certificaciones. <a href=""https://www.last.fm/music/Manuel+Turizo"">Read more on Last.fm</a>"
Lay Bankz," <a href=""https://www.last.fm/music/Lay+Bankz"">Read more on Last.fm</a>"
Las Rodes," <a href=""https://www.last.fm/music/Las+Rodes"">Read more on Last.fm</a>"
Yami Safdie," <a href=""https://www.last.fm/music/Yami+Safdie"">Read more on Last.fm</a>"
Greeicy,"Greeicy Rendón nació en la ciudad de Cali (Colombia), el 30 de octubre de 1992. Es una mujer apasionada por el arte, que desde muy pequeña, estudió música en el Instituto Departamental de Bellas Artes. A los 13 años se presentó en el reality ""Factor XS"" quedando entre los 6 finalistas. Este programa le sirvió como plataforma para incursionarse en la actuación con un personaje en ""Chica Vampira"" entre otros. Decide tomar su pasión y abrirse camino en la música con su propio proyecto musical ""Greeicy"". <a href=""https://www.last.fm/music/Greeicy"">Read more on Last.fm</a>"
Carín León," <a href=""https://www.last.fm/music/Car%C3%ADn+Le%C3%B3n"">Read more on Last.fm</a>"
Mounim Slimani," <a href=""https://www.last.fm/music/Mounim+Slimani"">Read more on Last.fm</a>"
Nouamane Belaiachi," <a href=""https://www.last.fm/music/Nouamane+Belaiachi"">Read more on Last.fm</a>"
