artist,bio
Mother Mother,"Mother Mother (originalmente solo Mother) es un grupo de 5 personas de Quadra Island en Vancouver, Canadá. Ellos iniciaron en el 2005 lanzando su albúm independientemente llamado con el mismo nombre: Mother. Después fue relanzado con canciones adicionales y se cambiaron el nombre de la banda al actual. Su segundo albúm es O My Heart que será lanzado el 16 de Septiembre de este 2008.

Su último disco lo sacaran bajo el sello discográfico Last Gang Records (que ha sido casa de Metric, DFA 1979, The New Pornographers). <a href=""https://www.last.fm/music/Mother+Mother"">Read more on Last.fm</a>"
The Killers,"Banda de Rock, originaria de Las Vegas, Estados Unidos. Formada en 2002 después de que Brandon Flowers viera un recital de Oasis en el hotel Hard Rock, en abril de ese año. Su primer disco Hot Fuss fue un éxito internacional. En octubre de 2006 lanzaron su segundo álbum Sam's Town.

En 2001, Brandon Flowers abandonó su banda de pop sintético, Blush Response, después de que rechazara trasladarse a Los Ángeles, California. Tras esto, respondió <a href=""https://www.last.fm/music/The+Killers"">Read more on Last.fm</a>"
David Bowie,"David Robert Jones (8 de enero de 1947 - 10 de enero de 2016), más conocido como David Bowie, fue un cantante polifacético, inclasificable dentro de un solo género, ya que su música involucra diversos estilos musicales como el rock, el pop y la música electrónica. Fue también compositor, multiinstrumentista, productor, artista plástico y actor británico, fuertemente influyente en varias generaciones. Fue un ícono de la música y uno de los músicos más influyentes de la música contemporánea. <a href=""https://www.last.fm/music/David+Bowie"">Read more on Last.fm</a>"
Breaking Benjamin,"Es una banda de metal alternativo y post-grunge originaria de Wilkes-Barre, Pennsylvania, USA, con una gran influencia grunge de bandas como Nirvana, Pearl Jam, Bush. La banda ha lanzado cuatro álbumes de estudio y un álbum de grandes éxitos hasta la fecha y ha vendido más de 5 millones de discos sólo en los Estados Unidos.

Antes de que existiera Breaking Benjamin, Benjamin Burnley era solista. La banda debe su nombre a un incidente cuando Burnley <a href=""https://www.last.fm/music/Breaking+Benjamin"">Read more on Last.fm</a>"
Nate Smith,"Ira Nathaniel Smith es un baterista, compositor, productor y tres veces nominado al Grammy estadounidense. <a href=""https://www.last.fm/music/Nate+Smith"">Read more on Last.fm</a>"
The Vaccines,"The Vaccines son una banda formada en el año 2010, originaria de la ciudad de Londres, UK. Influenciados por la música de The Ramones y The Jesus and Mary Chain, The Vaccines ha logrado un sonido fresco que pasa por el indie rock de los últimos años y  el Garage rock revival. La banda está compuesta por:

Justin Young: Voz (quien previamente trabajó bajo el nombre de Jay Jay Pistolet, tocando indie folk)
Freddie Cowan: Guitarra (hermano menor de Tom de The Horrors) <a href=""https://www.last.fm/music/The+Vaccines"">Read more on Last.fm</a>"
Hollywood Undead,"La banda se originó en el 2005 cuando dos de sus miembros, deuce y J-Dog postearon una canción llamada “The Kids”, en el MySpace de la banda, después de recibir comentarios positivos, decidieron organizarse y crear “Hollywood Undead”, con sus amigos, Shady Jeff, Johnny 3 Tears, Charles P. Scene, Funny man y Da Kurlzz. En una entrevista con la revista “Shave”, J-Dog explicó: Cuando formamos la banda, cualquiera que estuviese en la habitación en ese momento y estuviese tocando un instrumento, “estaba en la banda”. <a href=""https://www.last.fm/music/Hollywood+Undead"">Read more on Last.fm</a>"
Black Label Society,"La banda es un proyecto de Zakk Wylde, ex-guitarrista del grupo ""Ozzy Osbourne"". La Banda dispone de 8 álbumes hasta la fecha. El primer álbum, ""Sonic Brew"", fue publicado el 28 de octubre de 1998 en japón y el 4 de mayo de 1999 en USA. El último álbum grabado en estudio fue ""Shot to Hell"", publicado el 11 y 12 de septiembre en Reino Unido y Estados Unidos respetcivamente, bajo la supervisión de Roadrunner Records y producido por Michael Beinhom (Soundgarden, Ozzy Osbourne, Red Hot Chilli Peppers). <a href=""https://www.last.fm/music/Black+Label+Society"">Read more on Last.fm</a>"
The Cure,"La formación original de la banda, entonces Easy Cure, nació en un colegio de Crawley, una ciudad construida sobre los escombros que dejó la guerra en un pequeño pueblo en el corazón de la campiña del sur de Inglaterra. Aunque Easy Cure había surgido como una banda de punk, para cuando simplificaron su nombre a The Cure, la creciente fascinación de Robert Smith por los temas oscuros y opresivos, ya se había unido a su habilidad para canalizar esas ideas en canciones apasionadamente evocadoras <a href=""https://www.last.fm/music/The+Cure"">Read more on Last.fm</a>"
Kings of Leon,"Kings of Leon es un grupo de música estadounidense de rock formado en el año 1999 en Nashville, Tennessee. Está formado por los hermanos Caleb (cantante, guitarra rítmica), Nathan (batería, coros) y Jared (bajo, coros) Followill, junto con su primo Matthew Followill (guitarra principal, coros).

Sus comienzos en la música se vieron influenciados por una mezcla de rock sureño y garage rock. Kings of Leon ha tenido nueve sencillos en el Top 40 de Gran Bretaña, incluyendo el éxito nº1 ""Sex on Fire"". <a href=""https://www.last.fm/music/Kings+of+Leon"">Read more on Last.fm</a>"
Vampire Weekend,"Vampire Weekend es una banda de indie-rock con influencias africanas, originaria de Nueva York y fundada en febrero de 2006, que se hizo conocida por medio de varios blogs de Internet.

Sus miembros se conocieron en la universidad de Columbia, donde hicieron una película de la que eligieron el nombre de la banda: Vampire Weekend (en la canción Walcott hablan sobre ello).

En 2007, su hit Cape Cod Kwassa Kwassa terminó en la posición número 67 de la lista que expone cada año Rolling Stone ""Las 100 mejores canciones del año"". <a href=""https://www.last.fm/music/Vampire+Weekend"">Read more on Last.fm</a>"
Barns Courtney," <a href=""https://www.last.fm/music/Barns+Courtney"">Read more on Last.fm</a>"
Robbie Williams,"Robert Peter Williams (nacido el 13 de febrero de 1974 en Stoke-on-Trent, Staffordshire, Reino Unido) es un cantante británico de música pop y ex miembro del grupo Take That al que abandonó en 1995.

Tras su paso por este grupo se forjó una carrera de solista, siendo  Angels , una balada, la canción que le dio éxito. Su primer álbum fue Life Thru A Lens. En el año 2000 grabó ""Sing When You're Winning"", que contenía ""Rock Dj"", éxito en varios países, además de otros sencillos como ""Better man"" o ""Road to mandalay"". <a href=""https://www.last.fm/music/Robbie+Williams"">Read more on Last.fm</a>"
Sum 41,"Sum 41 es una banda de Punk rock originaria de Ajax, Canadá. Sus miembros originales fueron Deryck Whibley, Jason McCaslin, Steve Jocz y Dave Baksh pero hoy en dia esta formada por Deryck Whibley, Jason McCaslin y Tom Tucker (que se hizo miembro oficial en 2011) ya que Dave (Ex Guitarrista Principal) dejo la banda en 2006 para empezar con su projecto ""Brown Brigade"" y actualmete ""2013"" dejo la banda Steve Jocz por el cansancio que le provocaban las giras hasta ahora andan sin baterista y por lo menos no se dijo nada de nuevo baterista en 2013. <a href=""https://www.last.fm/music/Sum+41"">Read more on Last.fm</a>"
Paramore,"Paramore es un grupo de rock alternativo procedente de Franklin, Tennessee formado en 2004, ya que anteriormente el grupo estaba formado por Hayley y Jeremy y se llamaba The Factory. Influenciados por Jimmy Eat World y Sunny Day Real Estate, está formado por Hayley Williams (vocalista, pianista y guitarrista), y Taylor York  (guitarra rítmica)

El dueño de la discográfica Fueled by Ramen los contrató tras verlos actuar. Aunque la edad media de los integrantes del grupo no superaba los 20 años, han cosechado un gran éxito. <a href=""https://www.last.fm/music/Paramore"">Read more on Last.fm</a>"
Allah-Las,"Allah-Las es un estadounidense de rock banda de Los Angeles , California , Estados Unidos, formada en 2008. La banda está compuesta por Mateo Correia (percusión), Spencer Dunham (bajo), Miles Michaud (voz, guitarra), y Pedrum Siadatian (guitarra principal ).  Cuando la banda se reunieron, tres de ellos - Correia, Dunham y Siadatian - estaban trabajando en Amoeba Music .  <a href=""https://www.last.fm/music/Allah-Las"">Read more on Last.fm</a>"
Three Days Grace,"Three Days Grace es una banda canadiense de metal alternativo y post-grunge, formada en Norwood, Ontario, Canadá en 1992, originalmente bajo el nombre Groundswell, con el que grabarían sólo un álbum. Después de su desintegración en 1997, la banda se reagrupó el mismo año bajo su nombre actual y con los miembros Adam Gontier (voz, guitarra), Neil Sanderson (batería, coros) y Brad Walst (bajo). En 2003, Barry Stock se unió a la banda como guitarrista. <a href=""https://www.last.fm/music/Three+Days+Grace"">Read more on Last.fm</a>"
The Smashing Pumpkins,"The Smashing Pumpkins es un grupo musical estadounidense de rock alternativo, formado en Chicago, Illinois, en 1988. Tras disolverse el 2 de diciembre de 2000, la agrupación anunció por medio de su sitio web oficial, el 20 de abril de 2006, una reunión y la grabación de un nuevo álbum.

The Smashing Pumpkins estaba compuesto originalmente por Billy Corgan (guitarra y voz), James Iha (guitarra), D'arcy Wretzky (bajo) y Jimmy Chamberlin (batería). <a href=""https://www.last.fm/music/The+Smashing+Pumpkins"">Read more on Last.fm</a>"
Jack White,"Jack White, nacido en el suroeste de Detroit, el 9 de julio de 1975, séptimo hijo de una familia católica numerosa, es el compositor, cantante, guitarrista y teclista del grupo The White Stripes conformado por él y Meg White, baterista. Aunque los dos integrantes siempre aseguran ser hermanos, en 2003 se descubrió que son ex-esposos, puesto que contrajeron matrimonio en septiembre de 1996 y se separaron pocos años después.

John Gillis (su verdadero <a href=""https://www.last.fm/music/Jack+White"">Read more on Last.fm</a>"
Pearl Jam,"Pearl Jam es una banda de rock, procedentes de Seattle, y uno de los líderes del movimiento grunge a principios de la década de los 90s. A pesar del hecho de que otros grupos de dicho movimiento han desaparecido Pearl Jam se mantiene estabilizado en un puesto predominante dentro del mundo musical, después de veinte años de carrera y nueve álbumes grabados en estudio hasta la fecha.
Se considera a su vocalista, Eddie Vedder, como una de las mejores voces del rock contemporáneo. <a href=""https://www.last.fm/music/Pearl+Jam"">Read more on Last.fm</a>"
Good Kid," <a href=""https://www.last.fm/music/Good+Kid"">Read more on Last.fm</a>"
Wallows,"Wallows es una banda de rock alternativo estadounidense proveniente de Los Ángeles formada por Dylan Minnette, Braeden Lemasters y Cole Preston. La banda empezó a publicar canciones en abril de 2017 empezando con ""Pleaser"", el cual logró número dos en el ranking de Spotify Top Viral 50. <a href=""https://www.last.fm/music/Wallows"">Read more on Last.fm</a>"
Artemas,"24 year-old Artemas, full name Artemas Diamandis, has only been releasing music since late 2020 but is fast developing a distinctive alternative pop sound through his relatable songwriting and captivating melodies. The self-taught multi-instrumentalist and unashamed pop music fan is a student of the YouTube generation of songwriters/producers. Hailing from Oxfordshire, but now based in London, Artemas made the most of being restricted to his bedroom through the pandemic, spending most waking hours during that time honing his studio craft. <a href=""https://www.last.fm/music/Artemas"">Read more on Last.fm</a>"
