0
Astrio
Jacky Terrasson
Jimmy Dorsey
Kin Garcia Trio
ORQUESTRA DE JAZZ DE GALICIA
Candy Dulfer
Jimmy Dorsey
Oscar Peterson Trio
Barry Likumahuwa
Maynard Ferguson
Juliana Cortes
Mezz Mezzrow
Beny Moré
Alice Lamb
Phil Woods
Massimo Faraò
Greg Walker
SaxoFOUR
Snowboy
"David ""Fathead"" Newman"
Ole Amund Gjersvik
Jan Ptaszyn Wroblewski Sextet
Raphael Wressnig
Scheen Jazzorkester
Giulia Valle Trio
Woody Herman
"Johnny ""Hammond"" Smith"
Octavio Bugni
Glenn Weyant
Enrico Intra
Eduardo Mendonça
Greekboy
Barney Kessel
Enrico Intra
Eric Bouvelle
Ivo Perelman
Mark O'Connor
Jan Ptaszyn Wroblewski Sextet
PAX JAPONICA GROOVE
Duke Ellington
"Eddie ""Cleanhead"" Vinson"
Monika Hoffman
Federico Casagrande
Ruben Alves
İlhan İrem
Christine Tobin
Eugene Williams
Lucky Thompson
SaxoFOUR
Jimmy Forrest
James Butler
Greg Walker
James Butler
Greg Walker
Greg Walker
Martin Liege
James Butler
Martin Liege
Afro-Cuban All Stars
Jimmie Lunceford
Dexter
Túlio Borges
Mah Kouyaté
Shannon & Keast
Terry Dexter
Kika Sprangers
Wendell Brunious
David Finck
Katie Noonan
Joshua Redman Quartet
Instrumental Jazz Music Ambient
Al Jolson
California Ramblers
Lina Nyberg
Peter Szendofi
Roger Wolfe Kahn
The Jazz Crusaders
Alexey Kruglov
Charles Mingus
Monika Hoffman
Christian Garrick
Andreas Tschopp
Emma Pask
Andrezz
Vangelis Katsoulis
Barre Phillips
J. C. Higginbotham
Mari Nakamoto
Mala Traza
Hubert Deuringer
Marilyn Scott
Monika Hoffman
Memphis Jazzers
Kirk Lightsey
Somewhere Off Jazz Street
David Hazeltine Trio
Steiger
Akiko Tsuruga
Claude Cozens Trio
Aga Zaryan
Ole Swing
Herbie Mann
Carme Canela
Martin Liege
James Butler
Cab Calloway & His Orchestra
"Earth, Wind & Fire"
Alberto Tarin
Jeanette Lindström
Oscar Aleman
Michiel Borstlap
David Manuhutu
Bebo Valdés
Oscar Aleman
Charles Schillings
Mani Deïz
IAMPAUL
The Tepping Trio
Fletcher Henderson & His Orchestra
Ahmad Jamal
Desidério Lázaro
Duoscience
Shelly Manne
Brian Tarquin
Ella Fitzgerald
Sumkali
The MaddGeek
TOKYO SHIOKOUJI
Stefano Di Battista
¡Cubanismo!
Bunk Johnson
Edward Vesala Ensemble
Mat Mathews
Susanne Regen
Pietro Tonolo
Luiz Ayrao
TICO DE MORAES
"Medeski, Martin & Wood"
Arturo Sandoval
B's Bees
Jackie McLean
Jack Hylton & His Orchestra
Bora Çeliker
Ohmega Watts
"YoYo the ""Pianoman"""
Kentaro Takizawa
Herbie Mann
Mel Tormé
Funkee Boy
Sugarwork
Denise King
Chano Dominguez
Javier Colina
Magalí Sare
Dani Nel·lo
Chano Dominguez
Servando Rascón
Beny Moré
Orquesta Aragón
Wayne Gorbea
Joe Cuba
Joe Cuba
Gary Burton
Bobby Darin
Jestofunk
Muff
Harry James
Carlos Lyra
John Burnsby
"Henry ""Red"" Allen"
Tito Rodriguez
Luciana Souza
Machito
Howard McGhee
Coffee House Jazz Club
Dale Burbeck
Rob Burke
Luigi Vitale
Beny Moré
Tubby Hayes
Kendraka
King Curtis
Joel Lyssarides
Lemongrass
Urbie Green
Miriam Makeba
Billy Eckstine
Limid
Luca Flores
Illinois Jacquet
Living Room
Mundell Lowe
Sarah Vaughan
Stefan Keller
Bola Sete
