id_genero,artista,similar
1,Bohuslav Martinů,Miloslav Kabeláč
1,Bohuslav Martinů,Petr Eben
1,Bohuslav Martinů,Alois Hába
1,Johann Sebastian Bach,Ludwig van Beethoven
1,Johann Sebastian Bach,Wolfgang Amadeus Mozart
1,Johann Sebastian Bach,Georg Friedrich Händel
1,Ludwig van Beethoven,Wolfgang Amadeus Mozart
1,Ludwig van Beethoven,Johann Sebastian Bach
1,Ludwig van Beethoven,Johannes Brahms
1,Christoph Willibald Gluck,Gaetano Donizetti
1,Christoph Willibald Gluck,Giuseppe Verdi
1,Christoph Willibald Gluck,Vincenzo Bellini
1,Wolfgang Amadeus Mozart,Ludwig van Beethoven
1,Wolfgang Amadeus Mozart,Johann Sebastian Bach
1,Wolfgang Amadeus Mozart,Franz Schubert
1,Manuel de Falla,Enrique Granados
1,Manuel de Falla,Joaquín Rodrigo
1,Manuel de Falla,Isaac Albéniz
1,Julia Wolfe,Michael Gordon
1,Julia Wolfe,Missy Mazzoli
1,Julia Wolfe,Judd Greenstein
1,Nithyasree Mahadevan,Sudha Ragunathan
1,Nithyasree Mahadevan,Sanjay Subrahmanyan
1,Nithyasree Mahadevan,Sowmya
1,Richard Strauss,Gustav Mahler
1,Richard Strauss,Johannes Brahms
1,Richard Strauss,Ludwig van Beethoven
1,Fritz Kreisler,Antonín Dvořák
1,Fritz Kreisler,Sir Edward Elgar
1,Fritz Kreisler,Niccolò Paganini
1,Tanburi Cemil Bey,Mesut Cemil
1,Tanburi Cemil Bey,Dede Efendi
1,Tanburi Cemil Bey,Safiye Ayla
1,Dimanche FR,RIAS Kammerchor Berlin
1,Dimanche FR,Lucas Macias Navarro
1,Dimanche FR,Emi Ferguson
1,Albert Roussel,Florent Schmitt
1,Albert Roussel,Charles Koechlin
1,Albert Roussel,Arthur Honegger
1,Alban Berg,Arnold Schönberg
1,Alban Berg,Anton Webern
1,Alban Berg,Luciano Berio
1,Tushar Dutta,Dwijen Mukherjee
1,Tushar Dutta,Kaushiki Chakraborty
1,Tushar Dutta,Birendra Krishna Bhadra
1,Karol Szymanowski,Witold Lutosławski
1,Karol Szymanowski,Mieczysław Karłowicz
1,Karol Szymanowski,Grażyna Bacewicz
1,Charles Koechlin,Germaine Tailleferre
1,Charles Koechlin,Florent Schmitt
1,Charles Koechlin,Reynaldo Hahn
1,Max Reger,Николай Карлович Метнер
1,Max Reger,Giuseppe Martucci
1,Max Reger,Ferruccio Busoni
1,Johannes Brahms,Robert Schumann
1,Johannes Brahms,Ludwig van Beethoven
1,Johannes Brahms,Felix Mendelssohn
1,Pietro Locatelli,Francesco Onofrio Manfredini
1,Pietro Locatelli,Giovanni Battista Sammartini
1,Pietro Locatelli,Giuseppe Torelli
1,Richard Wagner,Giuseppe Verdi
1,Richard Wagner,Richard Strauss
1,Richard Wagner,Ludwig van Beethoven
1,Ole Bull,Richard Addinsell
1,Ole Bull,Charles Auguste de Beriot
1,Ole Bull,Johan Svendsen
1,Giuseppe Verdi,Gaetano Donizetti
1,Giuseppe Verdi,Giacomo Puccini
1,Giuseppe Verdi,Vincenzo Bellini
1,Stephen Dodgson,Rebecca Clarke
1,Stephen Dodgson,John W. Duarte
1,Stephen Dodgson,Thomas Pitfield
1,Pablo Sorozábal,Giambattista De Curtis
1,Pablo Sorozábal,Vincenzo D'Annibale
1,Pablo Sorozábal,Salvatore Cardillo
1,Henri Dutilleux,Elliott Carter
1,Henri Dutilleux,Hans Werner Henze
1,Henri Dutilleux,Witold Lutosławski
1,Claude Debussy,Maurice Ravel
1,Claude Debussy,Franz Liszt
1,Claude Debussy,Robert Schumann
1,Juan María Solare,Juan Maria Solare
1,Juan María Solare,Oscar Pascasio
1,Juan María Solare,Manuel Zito
1,Francois Devienne,Carl Reinecke
1,Francois Devienne,Franz Doppler
1,Francois Devienne,Ignaz Pleyel
1,Gustav Mahler,Richard Strauss
1,Gustav Mahler,Anton Bruckner
1,Gustav Mahler,Ludwig van Beethoven
1,Simone Pedroni,"John Williams; Sara Andon, Cécilia Tsan, Simone Pedroni"
1,Simone Pedroni,Katharine Mehrling
1,Simone Pedroni,Sébastien LLINARES
1,Jean Françaix,Henri Tomasi
1,Jean Françaix,André Jolivet
1,Jean Françaix,Jacques Ibert
1,Tom Johnson,Dennis Johnson
1,Tom Johnson,Christian Wolff
1,Tom Johnson,Graham Fitkin
1,Reinhold Glière,Anatoly Lyadov
1,Reinhold Glière,Philippe Gaubert
1,Reinhold Glière,Anton Arensky
1,Evan Bogerd,Sietze de Vries
1,Niels Rønsholdt,Bent Sørensen
1,Niels Rønsholdt,佐藤聰明
1,Niels Rønsholdt,Peter Garland
1,Alice Ping Yee Ho,anthony rozankovic
1,Alice Ping Yee Ho,François Dompierre
