id_genero,artista,similar
2,Jacky Terrasson,Bill Charlap Trio
2,Jacky Terrasson,Cyrus Chestnut
2,Jacky Terrasson,Eric Legnini Trio
2,Jimmy Dorsey,Tommy Dorsey and His Orchestra
2,Jimmy Dorsey,Tommy Dorsey & His Orchestra
2,Jimmy Dorsey,Glenn Miller
2,ORQUESTRA DE JAZZ DE GALICIA,Real Filharmonia de Galicia
2,ORQUESTRA DE JAZZ DE GALICIA,Quinito Mourelle
2,ORQUESTRA DE JAZZ DE GALICIA,Atlantic Bridge Jazz Project
2,Candy Dulfer,Jessy J
2,Candy Dulfer,Brian Simpson
2,Candy Dulfer,Cindy Bradley
2,Jimmy Dorsey,Tommy Dorsey and His Orchestra
2,Jimmy Dorsey,Tommy Dorsey & His Orchestra
2,Jimmy Dorsey,Glenn Miller
2,Oscar Peterson Trio,Oscar Peterson
2,Oscar Peterson Trio,Bill Evans Trio
2,Oscar Peterson Trio,Ben Webster & Oscar Peterson
2,Barry Likumahuwa,Barry Likumahuwa Project
2,Barry Likumahuwa,Soulvibe
2,Barry Likumahuwa,Parkdrive
2,Maynard Ferguson,Gordon Goodwin's Big Phat Band
2,Maynard Ferguson,Arturo Sandoval
2,Maynard Ferguson,Woody Herman
2,Juliana Cortes,Ná Ozzetti
2,Juliana Cortes,Vinícius Calderoni
2,Juliana Cortes,César Lacerda
2,Mezz Mezzrow,Buster Bailey
2,Mezz Mezzrow,Bud Freeman
2,Mezz Mezzrow,Barney Bigard
2,Beny Moré,Rubén González
2,Beny Moré,La Sonora Matancera
2,Beny Moré,Cachao
2,Alice Lamb,Josh Franklin
2,Alice Lamb,Karizma Duo
2,Alice Lamb,Danielle Walsom
2,Phil Woods,Sonny Criss
2,Phil Woods,Sonny Stitt
2,Phil Woods,Zoot Sims
2,Massimo Faraò,Beegie Adair
2,Massimo Faraò,Nocturnal Spirits
2,Massimo Faraò,Peter Sandberg
2,Greg Walker,Royce Campbell
2,Greg Walker,Terri England
2,Greg Walker,Omar Sosa & Adam Rudolph
2,SaxoFOUR,Wolfgang Puschnig
2,SaxoFOUR,Vienna Art Orchestra
2,SaxoFOUR,Christian Muthspiel
2,Snowboy,Driza Bone
2,Snowboy,Emperors New Clothes
2,Snowboy,Leena Conquest
2,"David ""Fathead"" Newman",Ricky Ford
2,"David ""Fathead"" Newman",Houston Person & Ron Carter
2,"David ""Fathead"" Newman",Antoine Roney
2,Ole Amund Gjersvik,Giuseppe Millaci
2,Ole Amund Gjersvik,Freddie Colonal
2,Ole Amund Gjersvik,ピアノジャズ 贅沢
2,Jan Ptaszyn Wroblewski Sextet,Kuba Więcek
2,Jan Ptaszyn Wroblewski Sextet,Andrzej Kurylewicz Quintet
2,Jan Ptaszyn Wroblewski Sextet,Andrzej Trzaskowski
2,Raphael Wressnig,Yihequan
2,Raphael Wressnig,"Paolo ""Apollo"" Negri"
