id_genero,artista,similar
3,Sombra y Luz,Los Moles
3,Sombra y Luz,Saray Vargas & Tijeritas
3,Sombra y Luz,Tijeritas
3,Fleur East,Alexandra Burke
3,Fleur East,Louisa Johnson
3,Fleur East,Alesha Dixon
3,Tino Casal,Alaska y Dinarama
3,Tino Casal,Olé Olé
3,Tino Casal,La Guardia
3,JENCARLOS,Jencarlos Canela
3,JENCARLOS,Chyno Miranda
3,JENCARLOS,Felipe Santos
3,DJ Antoine,R.I.O.
3,DJ Antoine,Edward Maya
3,DJ Antoine,Global Deejays
3,Sergio Dalma,Café Quijano
3,Sergio Dalma,José Luis Perales
3,Sergio Dalma,Melendi
3,Loquillo,Loquillo Y Los Trogloditas
3,Loquillo,Seguridad Social
3,Loquillo,La Guardia
3,El Palacio de Linares,Hazte Lapón
3,El Palacio de Linares,Kokoshca
3,El Palacio de Linares,Rusos Blancos
3,Marco Mengoni,Ermal Meta
3,Marco Mengoni,Mahmood
3,Marco Mengoni,Annalisa
3,Bomba Estéreo,Systema Solar
3,Bomba Estéreo,ChocQuibTown
3,Bomba Estéreo,Mitú
3,Rosana,Deborah Blando
3,Rosana,Ella Baila Sola
3,Rosana,Rosario
3,Los Rebeldes,Gatos Locos
3,Los Rebeldes,Loquillo y Trogloditas
3,Los Rebeldes,Loquillo Y Los Intocables
3,Felix Jaehn,Robin Schulz
3,Felix Jaehn,Topic
3,Felix Jaehn,Sam Feldt
3,Pablo Alborán,David Bisbal
3,Pablo Alborán,Jesse & Joy
3,Pablo Alborán,Manuel Carrasco
3,Juventud Juché,cuello
3,Juventud Juché,Antiguo Régimen
3,Juventud Juché,Disco las palmeras!
3,Kañasur,Cherezade
3,Kañasur,El Suso
3,Kañasur,El biri
3,Sigala,Joel Corry
3,Sigala,Jonas Blue
3,Sigala,Jax Jones
3,Nada Surf,Rogue Wave
3,Nada Surf,The Lemonheads
3,Nada Surf,Superdrag
3,Sweet California,Auryn
3,Sweet California,Lucy Paradise
3,Sweet California,Calum
3,Varry Brava,Viva Suecia
3,Varry Brava,Miss Caffeina
3,Varry Brava,Lori Meyers
3,John Newman,Zak Abel
3,John Newman,Kwabs
3,John Newman,Olly Murs
3,Extraperlo,Cuchillo
3,Extraperlo,Klaus & Kinski
3,Extraperlo,Doble Pletina
3,Baby K,Takagi & Ketra
3,Baby K,Fred De Palma
3,Baby K,Elettra Lamborghini
3,Bastille,To Kill a King
3,Bastille,Imagine Dragons
3,Bastille,X Ambassadors
3,Maki,NIO
3,Maki,Cup of Joe
3,Maki,Rob Deniel
3,Nyno Vargas,Nikone
3,Nyno Vargas,Raoul Vázquez
3,Nyno Vargas,Merche
3,Cristian Guerrero,Ginera Ortega
3,Cristian Guerrero,Israel Paz
3,Cristian Guerrero,Enrique Morente con La Barberia del Sur
3,Paty Cantú,María José
3,Paty Cantú,Belinda
3,Paty Cantú,Jesse & Joy
3,David Barrull,Nolasco
3,David Barrull,Sarayma
3,David Barrull,Canelita
3,Soraya,Chenoa
3,Soraya,Mónica Naranjo
3,Soraya,Thalía
3,Neleonard,Sagrado Corazón de Jesús
3,Neleonard,Hazte Lapón
3,Neleonard,Rusos Blancos
3,Fernando Castro,El maki
3,Fernando Castro,Antonio Romero
3,Fernando Castro,Radio Macandé
3,DMEI,Eva Ruiz
3,DMEI,Salvador Beltran
3,DMEI,Neus Ferri
3,Rulo y la contrabanda,Albertucho
3,Rulo y la contrabanda,Forraje
3,Rulo y la contrabanda,EXCESO
3,Scotty,Fidel Wicked
3,Scotty,Marc Korn
3,Scotty,Chris Parker
3,Texxcoco,Perro
3,Texxcoco,Medalla
3,Texxcoco,Monteperdido
3,Pablo Und Destruktion,Fee Reega
3,Pablo Und Destruktion,Lorena Álvarez
3,Pablo Und Destruktion,Antiguo Régimen
3,Fernando Caro,Sergio Contreras
3,Fernando Caro,El Tren De Los Sueños
3,Fernando Caro,fernando castro
3,Pablo López,Antonio José
3,Pablo López,Malú
3,Pablo López,Miriam Rodríguez
3,Dimitri Vegas & Like Mike,Hardwell
3,Dimitri Vegas & Like Mike,Timmy Trumpet
3,Dimitri Vegas & Like Mike,R3hab
3,Tasmin Archer,Sophie B. Hawkins
3,Tasmin Archer,M People
3,Tasmin Archer,Texas
3,Murciano Total,Hazte Lapón
3,Murciano Total,Cosmen Adelaida
3,Murciano Total,Doble Pletina
3,Luis Fonsi,David Bisbal
3,Luis Fonsi,Reik
3,Luis Fonsi,Alex Ubago
3,Manuel Medrano,Andrés Cepeda
3,Manuel Medrano,Bacilos
3,Manuel Medrano,Sin Bandera
3,La Unión,Duncan Dhu
3,La Unión,Hombres G
3,La Unión,Mikel Erentxun
3,DNCE,Jonas Brothers
3,DNCE,Nick Jonas
3,DNCE,Joe Jonas
3,Joe Crepúsculo,Los Punsetes
3,Joe Crepúsculo,Nacho Vegas
3,Joe Crepúsculo,Hidrogenesse
3,Juan Magán,Omar Montes
3,Juan Magán,Ana Mena
3,Juan Magán,David Bisbal
3,Rasel,Sergio Contreras
3,Rasel,Demarco Flamenco
3,Rasel,Luis Cortés
3,Lucas Masciano,Jaula de Grillos
3,Lucas Masciano,Iguana Tango
3,Lucas Masciano,Melocos
3,The New Raemon,McEnroe
3,The New Raemon,"The New Raemon, Francisco Nixon & Ricardo Vicente"
3,The New Raemon,Francisco Nixon
3,Sidecars,Leiva
3,Sidecars,Shinova
3,Sidecars,Despistaos
3,3LAU,Seven Lions
3,3LAU,Gryffin
3,3LAU,Vicetone
3,Juanes,Bacilos
3,Juanes,Carlos Vives
3,Juanes,Fonseca
3,Alex Ubago,Sin Bandera
3,Alex Ubago,Cristian Castro
3,Alex Ubago,David Bisbal
3,Mikel Erentxun,Duncan Dhu
3,Mikel Erentxun,La Unión
