id_genero,artista,similar
4,Joan Colomo,El Petit De Cal Eril
4,Joan Colomo,La Iaia
4,Joan Colomo,Mishima
4,Familia Caamagno,Terbutalina
4,Familia Caamagno,Oh! Ayatollah
4,Familia Caamagno,Boyanka Kostova
4,Los Negativos,Brighton 64
4,Los Negativos,Los Flechazos
4,Los Negativos,kamenbert
4,Igor Paskual,Alfredo González
4,Igor Paskual,José Ignacio Lapido
4,Igor Paskual,Jaime Urrutia
4,Los Hermanos Cubero,Lorena Álvarez
4,Los Hermanos Cubero,La estrella de David
4,Los Hermanos Cubero,Pablo und destruktion
4,Sergio Dalma,Café Quijano
4,Sergio Dalma,José Luis Perales
4,Sergio Dalma,Melendi
4,Loquillo,Loquillo Y Los Trogloditas
4,Loquillo,Seguridad Social
4,Loquillo,La Guardia
4,Petti,Ville Kalliosta & Puppa J
4,Petti,"Hannibal, Edorf, Tykopaatti & Jodarok"
4,Petti,OG Ikonen & Asa
4,Lauroba,Kerobia
4,Lauroba,Katamalo
4,Lauroba,Esne Beltza
4,Altxatu,Glaukoma
4,Altxatu,Skabidean
4,Altxatu,Hesian
4,Bomba Estéreo,Systema Solar
4,Bomba Estéreo,ChocQuibTown
4,Bomba Estéreo,Mitú
4,Jammin´ Dose,FUTU MATANO
4,Jammin´ Dose,Super Skunk
4,Jammin´ Dose,La Selva Sur
4,Los Rebeldes,Gatos Locos
4,Los Rebeldes,Loquillo y Trogloditas
4,Los Rebeldes,Loquillo Y Los Intocables
4,Pep Sala,Sau
4,Pep Sala,Els Pets
4,Pep Sala,Lax'n'Busto
4,Arco,Tram
4,Arco,Codeine
4,Arco,Low
4,Nocturnos,Mucho
4,Nocturnos,Full
4,Nocturnos,Modelo de respuesta polar
4,Cybee,Els Catarres
4,Cybee,Buhos
4,Cybee,Joan Dausà
4,Comandante Twin,Carmen 113
4,Comandante Twin,ELYELLA
4,Comandante Twin,Héroes 2020
4,Physis Versus Nomos,Benito Lertxundi
4,Physis Versus Nomos,Tatxers
4,Physis Versus Nomos,Katamalo
4,Eskean Kristö,Izaki Gardenak
4,Eskean Kristö,LiHer
4,Eskean Kristö,Ibil Bedi
4,Maki,NIO
4,Maki,Cup of Joe
4,Maki,Rob Deniel
4,Embusteros,Comandante Twin
4,Embusteros,ELYELLA
4,Embusteros,Melifluo
4,Bantastic Fand,Stormy Mondays
4,Bantastic Fand,The Limboos
4,Bantastic Fand,Nat Simons
4,The Prussians,The Levitants
4,The Prussians,Jack Knife
4,The Prussians,Mirémonos
4,Bastille,To Kill a King
4,Bastille,Imagine Dragons
4,Bastille,X Ambassadors
4,Xiula,El Pot Petit
4,Xiula,Mainasons
4,Xiula,Ambauka
4,Bluestain,Hynkel
4,Bluestain,Félix Lineker
4,Bluestain,Lucia Scansetti
4,Eraso!,PI L.T.
4,Eraso!,Keike
4,Eraso!,Willis Drummond
4,Oskorri,Tapia eta Leturia
4,Oskorri,Pantxoa Eta Peio
4,Oskorri,Anje Duhalde
4,Atzembla,VaDeBo
4,Atzembla,Aspencat
4,Atzembla,La Gossa Sorda
4,The Kleejoss Band,Handsome Jack
4,The Kleejoss Band,The Magpie Salute
4,The Kleejoss Band,Los Deltonos
