artista,oyentes,reproducciones
Thomas James White,15713,105109
James Malikey,10060,48147
Rick Oli,4069,19761
Leblanc,31268,260983
Clara Schumann,166040,915159
Jozef De Schutter,86542,398479
Pyotr Ilyich Tchaikovsky,1856244,35532258
Frédéric Chopin,2028064,61507914
Fanny Mendelssohn,73750,348105
Feuerschwanz,109917,4149825
Mofjell,2620,9905
Andreas Hauschild,5697,25252
Omar Raafat,8242,51827
Sergei Rachmaninoff,1099898,15680715
Daniel Paterok,63786,364319
Andrei Irimia,932,3471
Emilia Branco,58951,275416
Johannes Brahms,1522617,19617344
Max Richter,1433161,60791065
Joshua Kyan Aalampour,224808,2889759
Moayad Aljabal,7967,39582
Ian Fontova,13648,106328
Hendyamps Studios,23261,169150
Thomas Klak,44348,167227
Music Within,32050,136249
George Frideric Handel,719176,11118923
Ludwig van Beethoven,2610414,53574900
Sherwood Roberts,52103,183564
Wolfgang Amadeus Mozart,2383677,64355481
Floriani,2077,57821
Alaskan Tapes,324788,2844316
Andrea Bocelli,1022135,15326808
Nils Frahm,785669,23875018
Violin Sky,10004,67049
Mathias Fritsche,17667,151991
Antonio Ministeri,8690,23207
Yaya Orchestra,11305,60574
Saah,38413,176773
Joel Sunny,166620,2072339
keshi,1018962,114778786
Gabriel Piano,4342,18547
Julian's Piano,1493,10171
Gabriela Piano,433,1507
Romeo,49604,478549
Magic Man,250145,2888393
Akın Sevgör,22457,243164
Andrea Vanzo,145132,1105065
Gabriel Fauré,905598,7687107
Ron Adelaar,138634,1124254
Austin Farwell,641713,9374620
Seb Wery,3981,30045
Eric Christian,122648,988803
Adah Strauss,593,3050
Sofi Paez,9087,45638
Sofiane Pamart,64105,1769187
Alberto Giurioli,41387,138822
Gibran Alcocer,481783,9169034
Luigi Boccherini,470596,2570386
Deister Orchestra,60698,670970
Paul Sabin,46579,359101
Peter Illenyi,2022,11569
Becky Ainge,46763,255815
Erik Satie,1754902,36584857
Alstad,100141,607499
Hampus Naeselius,34342,278125
Alexander Scriabin,454512,4741137
Yehezkel Raz,650053,6405943
Lara Somogyi,36030,185786
Cristian Vivaldi,44696,153752
Chick Corea,628212,7594295
Mirko Dukanovic,61278,421974
Kjell Sønksen,25378,76915
Giulio Caccini,45095,224541
Keaton Henson,566886,14451976
Franz Liszt,1320259,16117103
Albert C. Green,2454,7882
Olivia Belli,183391,1160646
LUDEN,20218,110224
Daniel Ciurlizza,50591,328246
Annie Rosier,25435,103073
Claude Armand,755,3071
Hania Rani,231151,5132796
MIIA,193903,2028571
Marta Cascales Alimbau,15014,47895
Laufey,1962027,199053432
Thomas Newman,1133574,28112761
Germaine Tailleferre,88013,333620
Melina,6780,36477
Aaron Dolan,7829,40901
sonbahar,8141,46420
Edvard Grieg,1294276,13496658
The Last Days of Our Past,28750,125499
Hakdo,35690,363860
PERCEVAL,17430,241924
Ellen Reid,16580,77838
Chad Lawson,323627,2512870
Plínio Fernandes,17766,54244
André Rieu,299944,3197978
Rafael Krux,46292,273232
Gabriel Albuquerqüe,56060,358975
Rebecca Dale,17149,52704
Patrick Watson,1580870,33776417
Claude Debussy,1941560,37241147
Christian Badzura,26747,63877
Judah Earl,24802,214415
requiem for you,103480,2393532
Robert Schumann,1028740,11754971
Jason Fervento,26517,126391
Amory Reel,13394,46593
David A. Molina,23558,156826
Florian Christl,69548,417696
Ray Chen,13918,46777
KOHTA YAMAMOTO,94337,2930592
Alexander Motovilov,66041,245764
Johannes Lehniger,15358,88696
Giacomo Puccini,648744,6922662
Vraell,79808,553389
Camille Saint-Saëns,1337358,15205439
The Rock Orchestra,4353,21883
D´Flow Aka La Maldad,2320,16088
Tony Ann,88310,1012655
AURORA,1682824,81385423
Cellomano,7370,52738
Mario Farini,96,158
Sonic Abodes,4619,10757
Julian Lloyd Webber,31559,170164
Maria Callas,221862,2775979
Hannah Parrott,14263,108638
Peter Ries,13671,93486
Brianna Tam,2784,13828
Andrés Martín,9891,27979
Valentin Silvestrov,153224,1034396
"El Loco Abrahan ""LA ORQUESTA JOVEN""",108,811
Alexis Ffrench,374628,3388826
Carlos Gardel,240292,2740153
Brosky TSW,2794,11506
Julius Asal,14462,57240
Lappy,21477,371582
Léo Delibes,470966,2661721
Jonas Hain,71494,642733
Claudio Monteverdi,257619,2746876
Mafeo 13,1287,6506
Isaac Alstad,4264,23771
Penguin Piano,77825,747256
RØRE,13421,85985
Anders Lundgaard,1676,17417
Aguilar y Su Orquesta,589,4447
Eunike Tanzil,16298,49559
Joep Beving,685070,8847594
Jamie Duffy,154042,1232553
Luis Berra,91135,352929
Ryuichi Sakamoto,888751,20207959
Ólafur Arnalds,1174763,38926824
Luca Longobardi,63547,350641
Avery Bright,4989,17710
Kelly Aliaga,778,5807
Jeremy Soule,727818,51364117
Piano Glow,1507,5499
Patty Gurdy,52095,823421
Jordan Critz,106457,703512
Juan Arenosa,20440,147914
James Quinn,130722,768632
Arrowsmith,34415,155663
Music Lab Collective,122904,743129
42palmundo,1884,22127
Johann Sebastian Bach,2392251,89587380
Aram Khachaturian,382503,2231150
Under The Zodiac,4372,10283
John Field,205086,1141562
Jean Sibelius,930893,8729080
Yiruma,820917,21824251
Regnør,33550,162917
Manuel Ponce,65180,316887
Evan Call,116493,7282151
Claudio Constantini,78593,423397
Belarusian Radio and Television Orchestra,18741,44352
dArtagnan,50438,1432467
Pieter de Graaf,54489,265449
Toneloom,2978,7992
Amy Beach,130196,547327
John Williams,2150424,66869962
Wallerstedt,56880,263087
Tabernis,4354,22506
Enzo Corne,40948,399037
Fritz Kreisler,220544,1360076
logan feece,15802,110997
Jon Batiste,455762,4550061
Bardix le Gaulois,2610,30201
Johannes Winkler,2980,7904
Hayato Sumino,9790,73470
Joe Hisaishi,1115618,52917093
Maurice Ravel,1180374,12932313
La Louve,35807,145723
Julie Cooper,9120,26819
Farya Faraji,16216,404461
starfall,113680,7140880
Shoi Miyazawa,62336,1055767
Celestial Aeon Project,309795,5382469
Raban,47830,278450
Philip Glass,1279732,32630462
Antonio Vivaldi,1882222,39858659
OlexandrMusic,3719,15937
Spearfisher,9257,47706
Tomaso Albinoni,247244,1830361
Nightcall,75501,531754
Ali Christenhusz,2667,10075
Txmy,170691,1476121
Yannick Lowack,38738,253960
Lowell Mason,15149,60157
Hans Zimmer,2578945,137284359
Johann Pachelbel,801814,5099865
Harpa Dei,8341,175583
Gabríel Ólafs,208280,1504072
Óscar Lobete,248,21812
Brian Eno,1724263,67070885
A. Blomqvist,111587,559672
Christoph Bale,2034,4924
Florence + The Machine,12957,148103
Lennart Altgenug,48592,229659
Dragonage,4337,19964
Sham Stalin,11391,80496
Gustav Mahler,749224,8419428
Stephan Moccio,359021,2912153
James Liam Figueroa,32187,357914
Edward Elgar,506106,4206763
Luciano Pavarotti,513426,4981549
