artista,oyentes,reproducciones
The Belleville Band,52306,152960
Irvin Smith Group,68771,216967
Tiril Brandt,49495,143148
Stella Cole,19957,71892
The Urban Trio,15868,31638
Sidney Hatfield Trio,29260,71406
Eternal Time Trio,60985,212032
Evelyn Parker,44328,152330
The Vanished People,141881,3434036
Nordic Light Trio,81285,247246
Jumaane Smith,12212,28036
The Manhattan Trio,24871,53920
More than Jazz,73201,276248
Viktoria Tolstoy,90795,704933
Arkadi Martinë,9803,62543
Wes Ivory,24852,216050
Gregory Porter,421435,6190813
Long Island Quartet,69512,297513
Erik Vårdstedt,21601,52956
Estelle,2053121,21332914
Leo Rio Trio,6807,16405
George Gower,19797,158474
Emilie Schiøtt,31687,180439
Caleb Arredondo,209828,1457520
Natalie Meir,19986,161909
Sodermalm Strand,52464,175447
Søren Bebe Trio,33218,166044
Henriette Martin,25100,164646
KTZ Players,122815,474479
Lee Davis,67546,252299
Svaneborg Kardyb,60136,698564
James Leeluck,25211,60860
Anthony Lazaro,108715,982685
Elliot Baxter,22902,164213
Le Bleu Ensemble,16287,40392
George Agate,27311,86648
Eleanor Rivers,16148,71889
Jorja Smith,1273036,40861489
Bruce Willmington & Co,70205,235274
Maria Kim,2285,9836
Tranquil Jazz Trio,700,5076
Fred Hayes,40333,121036
Teuteu,53582,319527
Derek Hines Trio,37737,109186
Farmer Street Quartet,15328,34304
Herman Fred Trio,58381,203260
Gustav Lundgren Trio,5182,18132
Charles Daisey & Friends,85416,295093
Nineve Wilson,27787,185791
Ibrahim Maalouf,234524,3675371
Benjamin Davies,41742,115582
Valentine Summers,26772,150978
Ari Bragi Kárason,13220,35359
The Grace Smith Gang,34259,89839
A Whisper,40969,257468
Téo Freire,24508,57248
Portiere Woodtar,25118,179793
Alex Bird,2457,5815
Nollaig Paolo,8581,39743
Will Mays,42682,212775
Camille Blanche,29109,190475
Scott Hamilton,226749,1512754
Cozy Coffee Shop,30404,548097
Thierry Marchal,33007,180950
Arthur Taylor Trio,46268,140932
Sara Santos,10480,39588
Ordinary Sparks,17821,42939
Julius Palladini,17141,103500
CMC 3,132756,609146
Ben Lively,61896,207530
The Groove Trio,104013,406322
Måns & Dotter,108378,416524
No.oN,11742,49629
Oliver Smith,129183,1464995
Kenny Barron,101620,600706
Deer Groves,12311,30501
Prism Trio,49415,166173
Lara Louise,21589,128831
Millie Blue,18460,120035
Reuben Plays,67353,248815
Sha Ma K'ho,70,112
mango heist,3307,8960
Galeazzo,3758,15835
Anthony Hide Trio,42549,127209
Laura Anglade,7793,25335
Midnight Trio,57709,190243
Reed Stricklers,52610,152674
Bridgerton Vail,49938,154485
Saginaw Society,61917,197074
Ray Love,37465,210585
Osmond Beliér,1491,3653
Matt Dusk,148370,1036402
Anthony Smith,9041,58648
Mani Schmah,4868,28558
Aron Finneas,18631,161753
The Holly Molly Trio,61950,202803
Club des Belugas,264424,3961965
Duponte et Duponte,88571,306093
Tom Rogers Band,12962,45508
Nectar & Nymphs,1514,5335
Kristian Hart Trio,61483,215554
Paddington St. Group,50173,158716
Ferdi,22556,135548
Trio Rosa,34495,108471
Ballroom Jazz Collective,56370,216180
De-Phazz,644980,12352172
Mandevilla,106808,432636
Neil Chapman Green,56325,190490
Novo Stella,103415,370580
Leandro Amor Trio,11952,48373
Arta Porting,102162,394391
George Dukenfield,10416,65344
Ivory Soul Trio,21340,45729
Tara Lily,37800,164555
Carla Anderson,75567,252498
Pierre-Antoine Martin,4534,18327
Bria Skonberg,34651,153613
Tom Francis,80904,424763
Degli Scalzi,10484,56544
Bernstein Square,88197,361992
PANTERA BLUE,50609,347233
Laufey,1962027,199053432
Noodlin' Collective,21856,54429
RAYE,1367397,39850308
Velvet Groove,48257,145790
Lluis Capdevila,3836,11885
Dan Evans-Parker,162242,680142
Frans Bak,24997,176505
Adrian Berg,16538,33665
Lennie Weston,45638,176787
Ward Stetson,32498,238450
Orange Jazz Quartet,5380,59310
Trey Patton,23040,203472
Trio Musette,3243,10224
Adonis Rose,1674,6218
Ikigai,51691,216368
Charlie James-Walker,138949,563259
Andy Luma,25598,228103
Basinettes,64742,183221
Tommie Blayne,29793,88572
Caravan Palace,831360,27643138
Corin Stannard Trio,52017,175276
Kendrettes,64266,219141
Don & Gene,5875,21185
Conjunto Guantanamo,427,1584
Cosmazul,61618,408420
Alur Mcrose,9396,40538
Gail Cameron,5395,10524
Francis Graden,69697,371858
Glass Trio,189787,810674
Timothy Reisen,23832,125752
LÒNIS,11486,56600
Chops & Coda,19941,41437
Korey Wade,59119,205818
Dana Masters,1789,5572
Erik von Spreckelsen,40492,128712
Tree Nomads,20219,65510
Pat Metheny,512151,9964332
Seth Liane,24471,114040
Siberia,39770,185813
Art Beckett,53809,251917
Morgan Meir,14246,104741
Hviid Larsen,30718,78390
Courtney Salas Group,67417,220350
Junity,6875,53140
Mike Coen,97023,339795
Boulevard Pacific,8469,29354
Obongjayar,167795,1543899
Riley Cobb,24451,97677
Noah Henderson,46000,411403
Ray Love Trio,46116,156125
Saphena Trio,68757,253495
Susie Arioli,55057,313151
Frank Guardiola,40954,138686
Jeremy Ledbetter Trio,16398,48046
Logan Jameison,25943,167804
Maurillo,29888,227196
Jazmina Tozer Three,34720,100769
High North Trio,80161,323184
Lucas Collins,41706,284080
Kingsley Thomas,85830,260460
Russell Preston,17932,124471
Menilmuche,2916,10641
Sven Grimm,29042,102522
Alec Taylor Trio,58804,202678
Ilse Fisher,17113,112282
Eddie Harper,71155,277470
Tannenbaum Trio,73704,222505
Ametrine Skies,36698,100211
Miles Davis,2299374,81857745
Cole Peers trio,90818,348513
Jaden Cohen,26353,202162
Irvin Smith,96791,487046
