artista,oyentes,reproducciones
Milo Korbenski,62183,415641
sombr,1338346,46989905
Royel Otis,853125,18226270
Bihotza,1182,15148
Connor Kauffman,132511,2654271
INOHA,216053,3762311
Breaking Benjamin,2777212,128488145
Self Deception,126818,2997755
All Time Low,2432857,137416112
bby,110312,730082
Caramelos De Cianuro,58132,2116405
The Home Team,190345,9210489
Catch Your Breath,204901,5233228
Walls,81635,2167388
Cliver y su Grupo Coralí,492,12403
Star Band de Luis Alfredo,262,1315
MICO,185369,10289099
Friday Pilots Club,243717,8348297
Dani Martín,42855,762076
Nilüfer Yanya,480802,12666444
Keane,3859497,112732026
The Black Keys,3220024,192132224
Mother Mother,1789286,94324468
Cocteau Twins,2096673,146349906
Roving,59915,257863
Samuraï,32771,1230149
SKARS,44812,500717
Mark Knopfler,817545,23992770
Hollywood Undead,1461239,79767035
Jack White,1215446,33991752
Autumn Kings,62812,769773
Magnolia Park,216256,4601009
MAYRA ALVARADO,90,368
Arcane,676993,27452681
Joey Valence & Brae,846639,22310033
Kings of Leon,4969405,258744839
blink-182,4448471,293657446
Slomosa,51436,797884
The Offspring,4398397,204512439
angelbaby,55306,479607
Cruzando El Charco,14310,356682
Clarion,128141,1257162
Khruangbin,991143,42356821
natori,246768,6648010
Stellar,434906,9450517
Nicotine Dolls,27228,274721
VOILÀ,239747,8419838
Linkin Park,6606636,669865248
whatsaheart,228965,16143886
Bad Omens,685214,69845882
King Hannah,118279,1357809
Airbag,167386,7350450
tarchi,13402,1062096
The Warning,192342,9295511
Chayce Beckham,87279,952143
Thunder Jackson,57607,435490
Bleachers,1114482,38367254
The Devil Inside,10620,80582
Lemot,2620,23013
Phix,35876,644494
Culture Wars,112030,681751
José Junior,27440,87809
Palaye Royale,475539,26191625
DJ Nano,11081,44483
Mala Hierba,1555,11820
Empire Fall,23154,243454
STARSET,496859,24870380
RUSLANA,114062,2094019
Jackson Dean,37592,407264
Hens,24718,938287
spirit blue,135768,653011
cloudyfield,164722,2108593
Jelly Roll,297360,6141653
ThxSoMch,800325,19675906
Tan Bionica,92863,5286534
The Royal Foundry,25264,173563
Tim the Lion Tamer,6673,23291
Malaputa,601,5547
Marilyn Manson,3088777,191520536
Jelani Aryeh,368787,3939052
Rocker C,1166,3645
The Libertines,1729047,61625108
Letters to Lions,31361,254879
Father John Misty,1367788,55535008
ONE OK ROCK,577642,49888398
Turf,79452,1152406
NIVEK FFORHS,166420,1979789
Cobardes,1257,12144
WOS,175282,14120819
David Bowie,5342986,381381842
Too Close To Touch,186115,5878162
Bunbury,143418,5090059
dArtagnan,50438,1432467
If Not For Me,53264,868284
Yannis & The Yaw,40299,234499
From Ashes to New,236621,6327073
DePol,17979,282283
Night in Athens,13261,108503
Don Henley,1137680,10403333
Twin Tribes,278002,5764582
"El Loco Abrahan ""LA ORQUESTA JOVEN""",108,811
Tañita Cardona,253,1512
Paramore,5299388,529399964
ULTRA SUNN,176106,1973014
Barns Courtney,484075,9535150
Dillom,152356,16305391
The Plot In You,395004,18113735
Robbie Williams,2753322,69132226
Jadeh,4517,14608
Monica Zarate,55,214
Falling In Reverse,1250994,61544033
elijah,57316,902594
Noan,9503,102749
Haiden Henderson,103465,2340999
Point North,212697,5810474
nixxiu,38512,334500
Oliver Malcolm,117873,924115
Twenty One Pilots,3049399,358698656
David Gilmour,767479,18504432
Rain City Drive,146451,5678507
Tindersticks,500565,14322484
Gorka Urbizu,2669,77407
The Smile,445557,17871516
Los Conquistadores,1842,10411
Junior Varsity,217764,1990148
Nevertel,87213,2051854
Artemas,1442854,40451122
Nate Vickers,17765,167526
NewDad,379992,5466096
NOTHING MORE,343452,11686185
Pearl Jam,4172187,240883598
Krooked Kings,191724,2251193
Three Days Grace,3665832,168887285
dye,205587,2132979
Future Islands,833787,30150333
Set It Off,724399,32554386
Milky Chance,1622180,36900831
Korea Girl,144068,1639541
Our Mirage,50920,1105724
The Hails,202956,2332352
Paula Koops,15240,391799
Arrows in Action,105573,2988994
Suki Waterhouse,1574013,47505906
Wisp,904436,27971668
Marlon Funaki,187229,1729716
Five Finger Death Punch,1523644,77160428
Charlie USG,11314,289960
Warren Zeiders,159980,3358002
Enol,13443,404027
TX2,114188,2823824
Good Kid,491730,24607445
Pierce The Veil,1856162,215344733
Angel Guaraca,1125,13642
Chinese American Bear,82918,460782
YUNGBLUD,1063082,38955535
Laura Bryna,21442,55362
Beach Weather,1267570,22213554
Eiden XII,10442,150927
The Cure,5166116,364848969
Green Day,6300365,415089581
DT James,15264,79992
Oasis,5633148,302611816
Pole.,25472,811649
Croixx,28128,168296
Noshows,44256,217217
almost monday,323681,4611019
Halsey,2588801,204153535
h3nce,41328,1147437
SÜNE,1264,24300
Zea Mays,8928,140380
Kasabian,2952584,114853651
d4vd,2135147,101766917
Capital Soiree,58068,479037
The Fray,3448884,93313786
Fai Laci,29902,216025
Nate Smith,255169,3461571
Kevian Kraemer,62872,783999
Big One,137857,2276354
Mk.gee,638173,25833438
LØLØ,189021,3411836
Tauren Wells,79201,1380254
Las Pastillas del Abuelo,69005,1910846
WesGhost,139930,4729592
