id_genero,artista,oyentes,reproducciones
1,Wim Mertens,251468,3083223
1,Bohuslav Martinů,47187,335447
1,Johann Sebastian Bach,2408401,93235843
1,Ludwig van Beethoven,2742526,57342368
1,Joseph Haydn,149146,1489138
1,Christoph Willibald Gluck,390242,1981204
1,Wolfgang Amadeus Mozart,2415577,69020645
1,George Frideric Handel,477239,5897035
1,Manuel de Falla,151930,751279
1,Julia Wolfe,24340,94257
1,Nithyasree Mahadevan,2535,14968
1,Richard Strauss,522699,4022173
1,Fritz Kreisler,204861,1246325
1,Tanburi Cemil Bey,7566,57335
1,Dimanche FR,349,1354
1,Albert Roussel,8219,67490
1,Alban Berg,100353,795403
1,Tushar Dutta,304,2028
1,Karol Szymanowski,76366,521605
1,Charles Koechlin,35106,181550
1,Murat Salim Tokac,1935,17212
1,Max Reger,50766,286016
1,Johannes Brahms,1451255,18485505
1,Pietro Locatelli,39148,267540
1,Richard Wagner,850740,10073444
1,Ole Bull,15099,42671
1,Giuseppe Verdi,866293,9461535
1,Stephen Dodgson,1159,4020
1,Pablo Sorozábal,1717,7157
1,Henri Dutilleux,26134,183832
1,Claude Debussy,1894974,35910211
1,Juan María Solare,12667,508393
1,Francois Devienne,2098,12706
1,Gustav Mahler,721582,8008119
1,Simone Pedroni,732,5930
1,Jean Françaix,8670,66762
1,Tom Johnson,3036,20457
1,Reinhold Glière,23371,112867
1,Evan Bogerd,24,600
1,Niels Rønsholdt,104,1860
1,Alice Ping Yee Ho,93,252
1,Marcos Antonio Portugal,240,1561
1,Dietrich Buxtehude,142015,1255753
1,Koushik Bhattacharjee,11,76
1,Modest Mussorgsky,200440,1490399
1,João Carlos Martins,2075,19056
1,Erik Satie,1682620,35211053
1,Dinos Constantinides,124,1302
1,Giovanni Paisiello,25172,93601
1,Edvard Grieg,1279845,13600572
1,Benjamin Britten,283512,2431353
1,Alfred Schnittke,120811,1268829
1,André-Ernest-Modeste Grétry,2308,23606
1,Francois-Joseph Gossec,22452,99387
1,André Jolivet,4797,43354
1,Gerald Finzi,84034,387300
1,Gideon Klein,712,3714
1,Giovanni Pierluigi da Palestrina,98343,1115759
1,Antón García Abril,3853,18314
1,Luis de Pablo,629,4012
1,Béla Bartók,480764,4808606
1,Antonín Dvořák,1172718,12225346
1,Dominick Argento,776,7793
1,Jean-Philippe Rameau,349281,2875901
1,Enrique Granados,107865,579733
1,Antonio Vivaldi,1887753,40660390
1,Georg Philipp Telemann,407818,4241180
1,Gabriel Fauré,908360,7655568
1,Istvan Szekely,4605,39489
1,Bernat Vivancos,2971,13832
1,Sérgio de Vasconcellos Corrêa,4,8
1,Olena Yuriivna Shostko,1,1
1,Dmitri Shostakovich,981949,11407979
1,Franz Liszt,1284466,15418874
1,An-Lun Huang,214,598
1,Herbert Howells,33191,167429
1,Carlos Gardel,230183,2486785
1,Johann Nepomuk Hummel,84323,431111
1,Radamés Gnattali,4754,34436
1,Michael Gielen,1308,9120
1,Johann Baptist Vanhal,22399,141156
1,Ariel Ramírez,13186,118045
1,Hector Berlioz,442740,2596505
1,Rahul Vellal,486,3392
1,Matteo Carcassi,9634,85407
1,Roman Berger,113,331
1,Mario Castelnuovo-Tedesco,20199,117478
1,Jacqueline Fontyn,152,1061
1,Jules Massenet,384558,1639050
1,Ignaz Pleyel,3628,26068
1,Franz Danzi,15261,66532
1,Heitor Villa-Lobos,162155,1686419
1,Carl Philipp Emanuel Bach,475507,3067169
1,James Whitbourn,17039,91955
1,Charles-Marie Widor,14846,101466
1,Carl Heinrich Graun,3566,28468
1,Ottorino Respighi,314912,2211598
1,Muzio Clementi,113927,593273
1,Gioachino Rossini,198299,1310925
1,Tomás Bretón,1283,8092
1,Francesco Petrini,275,1095
1,Antonio Soler,14908,98538
1,Jean Sibelius,883773,8187292
1,Toru Takemitsu,47947,261258
1,Arcangelo Corelli,351671,3792871
1,Bedřich Smetana,442593,2392904
1,Viet Cuong,1283,8388
1,Carsten Bo Eriksen,619,2038
1,Luigi Boccherini,473860,2696754
1,Felix Mendelssohn,1043249,10177659
1,Claudio Monteverdi,253498,2667740
1,Francisco Tárrega,184247,1503235
1,Bundu Khan,226,1112
1,Antonio Lauro,33368,252795
1,Arthur Moreira Lima,4504,49131
1,Fernando Sor,90472,668857
1,Alicia de Larrocha,40933,302914
1,Barkat Ali Khan,146,640
1,Vincent Persichetti,7026,41105
1,Allan Pettersson,4830,49637
1,Severin van Dijk,38,204
1,Matthew Welch,635,6057
1,Nils Henrik Asheim,416,3126
1,Kenneth Fuchs,2441,9090
1,Henryk Górecki,206678,1464588
1,György Kurtág,41563,373513
1,Ian Venables,285,2011
1,Hisako Hiseki,235,1624
1,Richard Barrett,2499,15153
1,Alessandro Scarlatti,112007,793556
1,Jaromír Weinberger,1146,3504
1,Franz Schmidt,7086,35844
1,Virgil Thomson,4331,22971
1,Geoffrey Poole,209,759
1,Fridthjov Anderssen,23,172
1,Michael Finnissy,8908,47667
1,Andreas Jakob Romberg,473,2125
1,Paul Hindemith,98196,685134
1,Danny Clay,2622,34077
1,Christopher Cerrone,2092,16677
1,Sebastian Morawietz,3265,18387
1,Ruperto Chapí,1191,5972
1,Carson Cooman,645,6051
1,David Matthews,53642,294171
1,Exam Study Music Company,16,91
1,Marin Marais,121956,1122892
1,Camille Saint-Saëns,1344723,15016737
1,Franz Schubert,1401498,17112686
1,Luigi Dallapiccola,6007,58801
1,Giovanni Battista Pergolesi,210429,1712215
1,Marian Sawa,175,4929
1,Dmitry Kabalevsky,21262,111807
1,Friedrich Kuhlau,14545,72678
1,Georges Bizet,840832,6632743
1,Brenton Broadstock,91,537
1,Mieczysław Weinberg,15131,137452
1,Garreth Broke,57207,193611
1,Selim Palmgren,11244,41064
1,Tomás Marco,731,3924
1,Mily Balakirev,29126,137596
1,Daan Janssens,28,110
