id_genero,artista,oyentes,reproducciones
3,Rocío Dúrcal,270649,3985150
3,Sombra y Luz,757,4439
3,Fleur East,151953,1550018
3,Tino Casal,35114,296076
3,JENCARLOS,34503,209037
3,DJ Antoine,580353,5888989
3,Sergio Dalma,69541,699205
3,Loquillo,55108,755987
3,El Palacio de Linares,1690,31818
3,Marco Mengoni,124227,4179864
3,Bomba Estéreo,343282,5559961
3,Rosana,228239,1815784
3,Los Rebeldes,23213,160343
3,Felix Jaehn,757842,9799977
3,Pablo Alborán,287843,6512770
3,Juventud Juché,3351,52959
3,Kañasur,172,1639
3,Sigala,726855,11060488
3,KSHMR,326231,5568865
3,Nada Surf,1082411,24128546
3,Sweet California,28280,355490
3,Varry Brava,26939,558640
3,John Newman,1035030,12323273
3,Extraperlo,11348,131581
3,Baby K,60384,932152
3,Bastille,2170102,81288223
3,Maki,109440,4174506
3,Nyno Vargas,17874,136497
3,Cristian Guerrero,245,917
3,Paty Cantú,126189,2600996
3,David Barrull,2282,19510
3,Soraya,138971,1477213
3,Neleonard,1914,27504
3,Fernando Castro,4529,18693
3,DMEI,733,2219
3,Duo Dinamico,15142,78767
3,Rulo y la contrabanda,17824,427831
3,Scotty,165611,1014674
3,Monoir,32764,293071
3,Texxcoco,3640,23782
3,Pablo Und Destruktion,6424,183146
3,Fernando Caro,623,5569
3,Pablo López,33622,1018921
3,Dimitri Vegas & Like Mike,744959,10556923
3,Tasmin Archer,198711,1229756
3,Murciano Total,1377,20455
3,Luis Fonsi,1185846,13238571
3,Manuel Medrano,125868,2820403
3,La Unión,213622,1952119
3,DNCE,1314018,16374716
3,Joe Crepúsculo,41070,983819
3,Juan Magán,186731,1989376
3,Rasel,26502,157591
3,Kiko y Shara,2573,26090
3,Lucas Masciano,8675,61039
3,The New Raemon,51531,1773832
3,Sidecars,32275,591158
3,3LAU,306229,4023532
3,Juanes,1045623,16979056
3,Alex Ubago,212783,2685908
3,Mikel Erentxun,122325,1198843
3,Marta Quintero,3502,24197
3,Bordon-4,1735,11508
3,Celia Gamez,708,5590
3,Paulina Rubio,417981,13555057
3,Marta Soto,6615,96745
3,Capitán Sunrise,2904,38212
3,Kylie Minogue,3146731,142390451
3,Armin van Buuren,1646955,57429641
3,Tony Ronald,10481,45543
3,Depressing Claim,512,21334
3,Jarabe De Palo,516011,7862534
3,Vainica Doble,13718,189880
3,Elena,109358,954184
3,Nuevos Hobbies,531,5879
3,Umberto Tozzi,212653,1589790
3,Camela,45934,503900
3,Ivan Ferreiro,15236,368703
3,Grises,13033,167441
3,Corizonas,12919,173799
3,Poupie,22513,329530
3,Makarines,931,10475
3,Justin Timberlake,4802136,130943843
3,Aitana,195402,10537034
3,Efecto Pasillo,55818,604517
3,Miguel Bosé,327423,5603366
3,Radio Futura,151108,1522838
3,Alesso,1298337,20908448
3,Betacam,4924,65045
3,MARLENA,22318,489986
