id_genero,artista,oyentes,reproducciones
4,Gari,5008,102123
4,Joan Colomo,8589,219815
4,Familia Caamagno,924,19446
4,Los Negativos,2285,28509
4,Igor Paskual,910,13421
4,Los Hermanos Cubero,4211,47825
4,Sergio Dalma,69541,699205
4,Loquillo,55108,755987
4,Petti,1563,10262
4,Lauroba,457,8417
4,Altxatu,130,4303
4,Bomba Estéreo,343282,5559961
4,Jammin´ Dose,202,9024
4,Los Rebeldes,23213,160343
4,Aerolineas Federales,5151,50124
4,Pep Sala,1442,12470
4,Arco,34764,435982
4,Nocturnos,742,6555
4,Cybee,1815,14012
4,Comandante Twin,4036,30181
4,Physis Versus Nomos,66,508
4,Eskean Kristö,382,3820
4,Rukula,57,433
4,Maki,109440,4174506
4,Embusteros,2369,26355
4,Bantastic Fand,41,310
4,The Prussians,3102,19568
4,Bastille,2170102,81288223
4,Xiula,1241,16904
4,Bluestain,434,3504
4,Eraso!,778,9828
4,Oskorri,8209,100930
4,Atzembla,690,14264
4,The Kleejoss Band,141,6315
4,Os Resentidos,9333,68820
4,La Porta Dels Somnis,611,7483
4,Track Dogs,1731,12023
4,The Oddballs,493,4277
4,Young Forest,146,1321
4,Tano!,798,11840
4,Terratombats,384,4566
4,Bely Basarte,30947,493424
4,Lildami,5633,100210
4,Salto,7290,111591
4,Bultz!,75,984
4,Pepet I Marieta,3763,50811
4,Correcaminos Rock and Roll Band,35,113
4,Pablo Valdés,265,7301
4,Pelax,55,931
4,Rulo y la contrabanda,17824,427831
4,The Gift,61013,940237
4,La Terrasseta de Preixens,906,10205
4,O Sonoro Maxín,309,1529
4,Txapelpunk,6328,58433
4,Raimon,8246,73395
4,La Unión,213622,1952119
4,The Sick Boys,117,703
4,Dixebra,2075,96483
4,Dio,1342502,36469599
4,El Mató a un Policía Motorizado,115783,5387841
4,Lucas Masciano,8675,61039
4,Miquel Abras,4494,41218
4,Sidecars,32275,591158
4,Banda de Gaites Villa de Xixón,41,368
4,"Quico El Célio, El Noi I El Mut De Ferreries",778,7949
4,Cesk Freixas,10301,154485
4,El Chico Amperio,128,2175
4,Juanes,1045876,16985194
4,Sherish,25,290
4,Isla Iglú,781,2935
4,Hendrik Röver,769,12503
4,Faith No More,1627202,60058934
4,Alex Ubago,212783,2685908
4,Melange,3448,38894
4,Strombers,4444,73962
4,Joseba Tapia,1151,15586
4,Feliu Ventura,6935,62517
4,Astarot,3470,42422
4,Autumn Comets,7948,57309
4,Molina Molina,3344,15923
4,Animal,21018,147130
4,Roy Orbison,1790865,21874217
4,Camilo Séptimo,73606,2093247
4,Efecto Pasillo,55818,604517
4,Robbie Williams,2546053,59098674
4,The Potes,52,1281
4,Nat Simons,12655,53251
4,Álvaro Urquijo,621,2616
4,Perlata,280,2800
4,Caboverde,297,7395
4,Minor Empires,1646,45726
4,Tregua,836,6706
4,Nyandú,1881,14369
4,Ochobre,77,1779
4,Koel,621,4464
4,Mikel Laboa,7940,145691
4,Egurra Ta Kitto,398,3905
4,Lluis Llach,6175,70656
4,MARLENA,22318,489986
4,La Trinca,8014,80873
4,Stai Zitto,48,853
4,Dinamita Pa Los Pollos,13557,77425
4,Gotelé,215,688
4,Quimi Portet,12360,176839
4,Tachenko,35932,491519
4,Xarim Aresté,2948,29322
