nombre_artista,album,fecha,tipo,track
Shiro SAGISU,Shin Godzilla (Original Motion Picture Soundtrack),2016,track,Who Will Know (24 Bigslow)
Erik Satie,Erik Satie & Friends,2016-04-01,track,Gymnopédie No. 3
Christopher Tin,Sogno di Volare (Civilization VI Main Theme),2016-10-20,track,Sogno di Volare (“The Dream of Flight”)
See Siang Wong,Cinema Classics: The Piano at the Movies,2016-07-22,track,River Flows in You
Federico Albanese,The Blue Hour,2016-01-15,track,"Shadow Land, Pt. 1"
Elena Kats-Chernin,Butterflying: Piano Music of Elena Kats-Chernin,2016-05-06,track,Lullaby for Nick
Jean-Michel Blais,Il (Deluxe),2016-08-26,track,Nostos
Two Steps from Hell,Vanquish,2016-12-02,track,Stallion
Frédéric Chopin,50 Masterworks - Arthur Rubinstein,2016-11-11,track,"Nocturnes, Op. 27: No. 2 in D-Flat Major"
Vitamin String Quartet,"Geek Wedding, Vol. 2: The Sequel",2016-02-19,track,Howl's Moving Castle - Merry-Go-Round of Life
Claudia Montero,Irremediablemente Buenos Aires,2016-03-11,track,Buenos Aires en Tres. II
Alfonso Alekhine Rebaza,"Mozart, Tchaikovsky, Beethoven. Pequeños Maestros de la Música Clásica para Niños y Bebés.",2016-12-23,track,Danza del Hada del Azúcar
Antonio Vivaldi,25 Classical Favorites,2016-03-04,track,"The Four Seasons, ""La primavera"" (Spring)‚ Op. 8, No. 1"
El Combo Dominicano,Pa' Gozar,2016-11-18,track,Vuela Corazón - Cumbia Version
Modest Mussorgsky,Mussorgsky: Pictures At An Exhibition,2016-12-02,track,Pictures at an Exhibition (Orch. Ravel): Promenade I
Grupo Bomba,Una en un millon,2016-12-12,track,Una en un millon
Andrea Bocelli,Romanza (20th Anniversary Edition / Deluxe),2016-11-18,track,Con Te Partirò
Secession Studios,The Untold,2016-12-20,track,Demise of a Nation
Carl Philipp Emanuel Bach,"C.P.E. Bach: Keyboard Concertos, Wq. 26, 44 & 20",2016-01-01,track,"Keyboard Concerto in G Major, Wq. 44: II. Andantino"
Philippe Rombi,Ricky (Bande originale du film),2016,track,Ricky - Thème
Yann Tiersen,EUSA,2016-09-30,track,Penn Ar Roc'h
El Combo Dominicano,Pa' Gozar,2016-11-18,track,Borro Cassette - Merengue Version
Darla,"My Piano, The Clouds",2016-01-01,track,"My Piano, The Clouds"
George Frideric Handel,Bach & Handel: Transcriptions for Piano,2016-04-01,track,"Minuet in G Minor, HWV 434 No. 4 (Transc. W. Kempff)"
Rik,"The Romantic Period, Vol. 2",2016-11-01,track,"Bagatelle No. 25 in a Minor, WoO 59 : ""Für Elise"""
Ólafur Arnalds,Trance Frendz,2016-03-04,track,21:05
John Field,Field: Complete Nocturnes,2016-05-01,track,"Nocturne No. 2 in C Minor, H. 25"
Franz Liszt,"Transcendental - Daniil Trifonov Plays Franz Liszt (Etudes S. 139, S. 141, S. 144, S. 145)",2016-10-07,track,"3 Études de Concert, S. 144: No. 3 in D-Flat Major ""Un sospiro"""
Jóhann Jóhannsson,Orphée,2016-09-16,track,"Good Night, Day"
Erik Satie,Erik Satie & Friends,2016-04-01,track,Gymnopédie No. 1
Franz Schubert,Camille & Julie Berthollet,2016-10-28,track,"Schubert: Ave Maria, D. 839"
Andrea Bocelli,Romanza (20th Anniversary Edition / Deluxe),2016-11-18,track,Con te partirò - Instrumental / 2016 Version
Federico Albanese,The Blue Hour,2016-01-15,track,Migrants
Clara Schumann,Schumann & Schubert - Transcriptions for Clarinet & Harp,2016-10-21,track,"Schumann: 12 Gedichte aus Liebesfrühling, Op. 37: No. 11: Warum willst du andre fragen"
El Combo Dominicano,Pa' Gozar,2016-11-18,track,El Prostituto
Ólafur Arnalds,Island Songs,2016-10-28,track,Doria - Island Songs VII
Secession Studios,The Untold,2016-12-20,track,The Untold
Two Steps from Hell,Vanquish,2016-12-02,track,Evergreen
Grupo Bomba,Más y Mejor,2016-04-16,track,Le Hace Falta un Beso
Benita Calrado,Soft Piano,2016-08-28,track,Mozart: Piano Concerto No. 21 - Andante
Johann Sebastian Bach,"Goldberg Variations - The Goldberg Variations, BWV 988",2016-11-04,track,"Goldberg Variations, BWV 988: Aria"
Jóhann Jóhannsson,Orphée,2016-09-16,track,Flight from the City
Alexis Ffrench,The Piano Whisperer,2016-10-17,track,A Time of Wonder
Ludovico Einaudi,Elegy For The Arctic,2016-11-11,track,Einaudi: Elegy For The Arctic
John Field,Field: Complete Nocturnes,2016-05-01,track,"Nocturne No. 1 in E-Flat Major, H. 24"
Yann Tiersen,EUSA,2016-09-30,track,Porz Goret
Jóhann Jóhannsson,Orphée,2016-09-16,track,A Sparrow Alighted upon our Shoulder
Edvard Grieg,Lullabies for Mila,2016-01-08,track,"Lyric Pieces, Book 5, Op. 54: Nocturne"
Maurice Ravel,Ravel: Complete Works for Solo Piano,2016-01-15,track,"Ravel: Pavane pour une infante défunte, M. 19"
Edvard Grieg,"Wonderland - Edvard Grieg: Piano Concerto, Lyric Pieces",2016-09-09,track,"Piano Concerto in A minor, Op. 16: II. Adagio - Live"
dArtagnan,Verehrt und verdammt,2017-09-15,track,Was wollen wir trinken
Faun,Midgard (Tour Edition),2017-03-03,track,Federkleid
André Laplante,Call Me By Your Name (Original Motion Picture Soundtrack),2017-11-03,track,Une barque sur l'océan from Miroirs
Antonín Dvořák,"Dvořák: Symphony No. 9, From the New World",2017-05-12,track,"Symphony No. 9 in E Minor, Op. 95 ""From the New World"": IV. Allegro con fuoco"
Nike Hutchisson,"Piazzolla: Oblivion, Libertango (Arr. for Orchestra)",2017-12-01,track,Libertango - Arr. for Orchestra
Orquesta Lionel Barnstein,"Grandes Orquestas - Música Maravillosa para Gente Maravillosa, Vol. 16 - Submarino Amarillo",2017-09-01,track,El Bolero de Ravel
Tomaso Albinoni,Adagio in G Minor,2017-12-13,track,Adagio in G Minor
Ludwig van Beethoven,Peaceful Moments (One Hour of Relaxing Instrumentals),2017-08-04,track,"Moonlight Sonata (First Movement from Piano Sonata No. 14, Op. 27 No. 2)"
Howard Harper-Barnes,Pemberleigh,2017-07-07,track,The Farewell Serenade
Grupo Bomba,Despacito,2017-01-15,track,Despacito
Franz Schubert,Schubert: Piano Works,2017-03-03,track,"Waltz in G-Flat Major, D. 1/14 ""Kupelwieser-Walzer"""
ERA,The 7th Sword,2017-11-03,track,7 Seconds
Jean Sibelius,Sibelius,2017-09-01,track,"6 Impromptus, Op. 5: Impromptu VI"
Robert Schumann,"Schumann: Myrthen, Op.25 - Version For Cello And Piano, 24. Du bist wie eine Blume",2017-12-15,track,"Myrthen, Op. 25 - Version for Cello and Piano: XXIV. Du bist wie eine Blume"
Frédéric Chopin,"Chopin: Fantaisie-Impromptu In C Sharp Minor, Op. 66",2017-08-25,track,"Fantaisie-Impromptu in C-Sharp Minor, Op. 66"
Luca D'Alberto,Endless,2017-06-02,track,Her Dreams
Charles Gounod,Yo-Yo Ma Plays Bach,2017-05-12,track,Ave Maria
Orquesta Olympus,Con la Fuerza del Corazón,2017-07-31,track,Hoy Me Toca a Mí
Johann Sebastian Bach,Fantasías (Remasterizado),2017-10-27,track,"Aria de la Suite No. 3 en Re Mayor, BWV 1068 - Remasterizado"
Sergei Rachmaninoff,Preghiera - Rachmaninov Piano Trios,2017-02-24,track,"Preghiera (Arr. by Fritz Kreisler from Piano Concerto No. 2 in C Minor, Op. 18, 2nd Movement)"
Sergei Rachmaninoff,"Rachmaninoff: Piano Concerto No. 2 in C Minor, Op. 18 & Piano Concerto No. 3 in D Minor, Op. 30",2017-03-10,track,"Piano Concerto No. 2 in C Minor, Op. 18: I. Moderato"
Frédéric Chopin,Chopin: Works For Piano & Orchestra,2017-03-10,track,"Fantasy on Polish Airs, Op. 13: Largo non troppo"
Georges Bizet,Bizet: Carmen & L'arlésienne Suites,2017-10-13,track,Carmen Suite No. 1 (Arr. E. Guiraud): III. Intermezzo
Claude Debussy,Debussy,2017-11-17,track,"Suite bergamasque, CD 82: III. Clair de lune"
Philip Glass,Philip Glass: Piano Works,2017-01-27,track,Glassworks: Opening
Georgs Pelēcis,Into Silence: Pärt | Vasks | Górecki | Pelēcis,2017-09-08,track,Concertino bianco: 1. Con intenerimento
Martin Kohlstedt,Strom,2017-11-17,track,JIN
Jacob's Piano,Mariage d'Amour,2017-03-19,track,Mariage d'Amour
