nombre_artista,album,fecha,tipo,track
Michel Camilo,Spain Forever,2016-10-07,track,Cinema Paradiso
Kraak & Smaak,Juicy Fruit,2016-06-10,track,Toxic Love Affair
CAZZETTE,She Wants Me Dead,2016-05-13,track,She Wants Me Dead
Enrico Pieranunzi,Ménage à trois,2016-10-21,track,Romance / Hommage à Milhaud
Flabby,The Best Is yet to Come!,2016-11-04,track,Don't Break This Heart of Mine
AronChupa,Little Swing,2016-02-26,track,Little Swing
Mary Lou Williams,Gilles Peterson - Magic Peterson Sunshine,2016-04-15,track,It Ain't Necessarily So
Bugge Wesseltoft,Somewhere in Between,2016-10-07,track,Try
Jules Gaia,Razzmatazz,2016-01-04,track,Glitz At The Ritz
Kandace Springs,Soul Eyes,2016-06-24,track,Soul Eyes
The Hot Sardines,French Fries & Champagne,2016-06-17,track,Sweet Pea
Pauline Croze,Bossa Nova,2016-04-15,track,Samba Saravah
Laura Fygi,Jazz Love,2016-10-21,track,If I Ain’t Got You
Melody Gardot,Same To You (Bakermat Remix),2016-07-22,track,Same To You - Bakermat Remix
Kristin Chenoweth,The Art Of Elegance,2016-09-23,track,Let’s Fall In Love
Awa Ly,Five and a Feather,2016-03-25,track,Let Me Love You
Alfredo Rodriguez,Tocororo,2016-03-04,track,"Ay, Mamá Inés"
Enrico Pieranunzi,Ménage à trois,2016-10-21,track,1ère gymnopédie
Gregory Porter,Take Me To The Alley (Deluxe),2016-05-06,track,Holding On
Girma Bèyènè,Mistakes on Purpose (Ethiopiques 30),2016,track,Enkèn Yèlélèbesh
Laura Fygi,Jazz Love,2016-10-21,track,La vie en rose
Melody Gardot,It Gonna Come (FKJ Remix),2016-08-19,track,It Gonna Come - FKJ Remix
Jamie Berry,Lost In The Rhythm,2016-05-17,track,Lost In The Rhythm
Nathalie Et Guillaume,Paris - I Love You,2016-06-03,track,Un Homme Et Une Femme
Kat Edmonson,Cafe Society (Original Motion Picture Soundtrack),2016-07-08,track,Mountain Greenery
Deluxe,Stachelight,2016-01-22,track,Tall Ground - Bonus Track
Charles Lloyd,I Long To See You,2016-01-15,track,You Are So Beautiful
Zouzoulectric,The Hopper,2016-04-08,track,Round Around - Jojo Effect Remix
Oscar Peterson Trio,Oscar Peterson Trio Plays the Standards,2016-06-03,track,Stormy Weather
Bria Skonberg,Bria,2016-09-23,track,Que Sera Sera (Whatever Will Be Will Be)
Mop Mop,Lunar Love,2016-05-06,track,Spaceship: Earth
Boogie Belgique,Volta,2016-09-23,track,Goodnight Moon
Pauline Croze,Bossa Nova,2016-04-15,track,La Rua Madureira
The Bahama Soul Club,Havana ´58,2016-11-11,track,No Words
Nouvelle Vague,I Could Be Happy,2016-11-25,track,La Pluie Et Le Beau Temps
Gregory Porter,Take Me To The Alley,2016-05-06,track,Consequence Of Love
Kandace Springs,Soul Eyes,2016-06-24,track,Place To Hide
Boogie Belgique,Volta,2016-09-23,track,Every Time
Waldeck,Gran Paradiso,2016-08-12,track,Shala-Lala-La
The Bahama Soul Club,Havana ´58,2016-11-11,track,Casino De Capri
Justin Hurwitz,La La Land (Original Motion Picture Soundtrack),2016-12-09,track,Herman’s Habit
Norah Jones,Day Breaks,2016-10-05,track,It's A Wonderful Time For Love
Laura Fygi,Jazz Love,2016-10-21,track,Sunny
Macy Gray,Stripped,2016-09-09,track,I Try
Club des Belugas,"Tanzcafe Arlberg, Vol. 2",2016-01-15,track,Save a Little Love for Me
Justin Hurwitz,La La Land (Original Motion Picture Soundtrack),2016-12-09,track,Summer Montage / Madeline
Isabella Taviani,Carpenters Avenue,2016-03-21,track,(They Long To Be) Close To You
Angelina Jordan,What a Difference a Day Makes,2016-12-17,track,What a Difference a Day Makes
Pauline Croze,Bossa Nova,2016-04-15,track,La chanson d'Orphée (Manha Do Carnaval)
Kinobe,Slip Into Something More Comfortable,2016-06-24,track,Slip Into Something More Comfortable - Stephen Hague 2016 Mix
Throttle,Hit the Road Jack,2017-02-06,track,Hit the Road Jack
Dizzy Gillespie,Dizzy 100,2017-09-29,track,On The Sunny Side Of The Street
Parov Stelar,The Burning Spider,2017-04-21,track,Mama Talking
Massimo Faraò Trio,50 Trumpet (Smooth Jazz),2017-03-01,track,The Masquerade Is Over
Sarah McKenzie,Paris In The Rain,2017-01-13,track,I'm Old Fashioned
DJ Cam Quartet,The Essential,2017-11-03,track,Cantaloop Island
Andrea Motis,Emotional Dance,2017-02-17,track,He's Funny That Way
Thiago,Atardecer,2017-08-08,track,Just One More Night With You
Viktoria Tolstoy,Meet Me at the Movies (feat. Iiro Rantala),2017-01-27,track,Calling You
Carla Bruni,French Touch,2017-10-06,track,Crazy
The Bahama Soul Club,The Havana Remixes,2017-05-12,track,No Words - Suonho Radio Edit
Denise King,Songs with Love,2017-02-01,track,Back to Black
Carla Bruni,French Touch,2017-10-06,track,Please Don’t Kiss Me
Bobby Hutcherson,Candy,2017-01-24,track,Stardust
George Michael,Listen Without Prejudice / MTV Unplugged (Deluxe),2017-10-20,track,Desafinado (with Astrud Gilberto)
The Electric Swing Circus,It Flew By,2017-01-16,track,Empires
Jeb Loy Nichols,Country Hustle,2017-03-17,track,Don't Drop Me
Jamiroquai,Automaton,2017-03-31,track,Something About You
Emilie Schiøtt,After the Rain,2017-08-25,track,Only You
Imelda May,Life Love Flesh Blood (Deluxe),2017-04-21,track,Call Me
Ana Belén,Dual,2017-11-24,track,Algo Contigo (with Ruben Blades)
Parov Stelar,The Burning Spider,2017-04-21,track,Soul Fever Blues
Emilie Schiøtt,After the Rain,2017-08-25,track,Coming Home
Gregory Porter,"Nat ""King"" Cole & Me (Deluxe)",2017-10-27,track,L-O-V-E
Magnus Ringblom,Blue Night Bossa,2017-07-04,track,Standing Tall
JKriv,The Eleanora EP,2017-11-13,track,Emmanuel
Caravan Palace,Black Betty,2017-05-26,track,Black Betty
Denise King,My 100 Soul(s),2017-05-11,track,I Can't Take My Eyes Off You
Emilie Schiøtt,After the Rain,2017-08-25,track,Case of Blues
Jamiroquai,Automaton,2017-03-31,track,Shake It On
Earl,Tongue Tied,2017-07-28,track,All That Glitters
Lizz Wright,Grace,2017-09-15,track,Stars Fell On Alabama
João Donato,Bluchanga,2017-07-14,track,Bluchanga
Jamiroquai,Automaton,2017-03-31,track,Summer Girl
Emilie Schiøtt,After the Rain,2017-08-25,track,Give Me a Kiss
Ibrahim Maalouf,Dalida By Ibrahim Maalouf,2017-11-17,track,J'attendrai
Aretha Franklin,Respect - The Very Best of,2017-03-25,track,I Say a Little Prayer
Rick Hale,A Dream Is a Wish Your Heart Makes / Young at Heart (Mash-Up) [feat. Julissa Ruth],2017-08-08,track,A Dream Is a Wish Your Heart Makes / Young at Heart (Mash-Up) [feat. Julissa Ruth]
Diana Krall,Turn Up The Quiet,2017-05-05,track,Night And Day
Jamiroquai,Automaton,2017-03-31,track,Cloud 9
Diana Krall,Turn Up The Quiet,2017-05-05,track,Dream
Stacey Kent,I Know I Dream: The Orchestral Sessions (Deluxe Version),2017-10-19,track,Photograph
Parov Stelar,The Burning Spider,2017-04-21,track,My Man
Aretha Franklin,A Brand New Me: Aretha Franklin (with The Royal Philharmonic Orchestra),2017-11-10,track,Respect (with The Royal Philharmonic Orchestra)
Seal,Standards (Deluxe),2017-11-10,track,My Funny Valentine
Diana Krall,Turn Up The Quiet,2017-05-05,track,L-O-V-E
Emilie Schiøtt,After the Rain,2017-08-25,track,It May Be You
Carla Bruni,French Touch,2017-10-06,track,Jimmy Jazz
Ella Fitzgerald,Someone To Watch Over Me,2017-09-29,track,Let's Do It (Let's Fall In Love)
Gregory Porter,"Nat ""King"" Cole & Me (Deluxe)",2017-10-27,track,Smile
Jazz At Lincoln Center Orchestra,Una Noche Con Rubén Blades,2018-10-19,track,Pedro Navaja
Tord Gustavsen Trio,The Other Side,2018-08-31,track,Curves
Oakwood Station,For Better Times,2018-04-20,track,As We Believed
Arturo Sandoval,Ultimate Duets,2018-05-18,track,Corazón Partio
Keith Jarrett,After The Fall (Live),2018-03-02,track,One For Majid - Live
Scott Hamilton,Moon Mist,2018-05-18,track,Young and Foolish
Fab Samperi,Moonshine Crossroads,2018-06-08,track,That's Alright
Steve Tyrell,A Song For You,2018-02-09,track,Sunday Kind of Love
Sachal Vasandani,Shadow Train,2018-09-28,track,Unforgettable
Delvon Lamarr Organ Trio,Close but No Cigar,2018-03-02,track,Close but No Cigar
John Coltrane,Naima,2018-05-17,track,Equinox
Moca,Tempomat,2018-01-26,track,Latein
Oakwood Station,For Better Times,2018-04-20,track,Tiny Tiny Steps
Tony Bennett,Love Is Here To Stay,2018-09-14,track,They Can’t Take That Away From Me
Michael Bublé,love (Deluxe Edition),2018-11-16,track,Such a Night
Halie Loren,From the Wild Sky,2018-04-27,track,A Mi Manera
Chihiro Yamanaka,ユートピア,2018-06-20,track,乙女の祈り
Arturo Sandoval,Ultimate Duets,2018-05-18,track,La Bilirrubina
