nombre_artista,album,fecha,tipo,track
OneRepublic,Oh My My (Deluxe),2016-12-02,track,Wherever I Go
Morat,Sobre El Amor Y Sus Efectos Secundarios,2016-06-17,track,Mil Tormentas
Ariana Grande,Dangerous Woman,2016-04-01,track,Greedy
Rosario,Gloria A Ti,2016-11-04,track,Gloria A Ti
BTS,Wings,2016-10-10,track,Blood Sweat & Tears
BIGBANG,MADE,2016-12-13,track,BANG BANG BANG
La Oreja de Van Gogh,El Planeta Imaginario,2016-11-04,track,Diciembre
La Oreja de Van Gogh,El Planeta Imaginario,2016-11-04,track,Verano
Bruno Mars,24K Magic,2016-11-17,track,Chunky
BLACKPINK,SQUARE ONE,2016-08-08,track,WHISTLE
Bruno Mars,24K Magic,2016-11-17,track,Finesse
Los Rebujitos,Tras la Máscara,2016-05-20,track,Todos los Besos
BLACKPINK,SQUARE TWO,2016-11-01,track,PLAYING WITH FIRE
Calum Scott,Dancing On My Own (Acoustic),2016-06-17,track,Dancing On My Own - Acoustic
La Húngara,La Niña Bonita XV,2016-12-16,track,La Niña Bonita
Drake,Views,2016-05-06,track,Too Good
James Arthur,Back from the Edge,2016-10-28,track,Say You Won't Let Go
Morat,Sobre El Amor Y Sus Efectos Secundarios,2016-06-17,track,En Un Sólo Dia
Maki,"Incondicional (Trilogía parte uno: Lucha, Ama, Baila)",2016-02-19,track,Ay mare (feat. Demarco Flamenco)
Morat,Sobre El Amor Y Sus Efectos Secundarios,2016-06-17,track,Cuánto Me Duele
Ariana Grande,Dangerous Woman,2016-04-01,track,Everyday
Thalia,Latina,2016-05-06,track,Desde Esa Noche (feat. Maluma)
Sabrina Carpenter,EVOLution,2016-10-14,track,Thumbs
Nouna,Fusión Flamenca (Pueblo Gitano),2016,track,Una Rosa Pa Mi Niña
James Arthur,Back from the Edge,2016-10-28,track,Can I Be Him
Haze,BARR10,2016-02-05,track,"Aire y mar (feat. Sayflhak, Elena Vargas e Ibra Rey)"
Maki,"Incondicional (Trilogía parte uno: Lucha, Ama, Baila)",2016-02-19,track,Loca (feat. María Artés)
Morat,Sobre El Amor Y Sus Efectos Secundarios,2016-06-17,track,Mi Nuevo Vicio
Parcels,Gamesofluck,2016-10-28,track,Gamesofluck
Bruno Mars,24K Magic,2016-11-17,track,That's What I Like
Sia,This Is Acting (Deluxe Version),2016-10-21,track,The Greatest
James Arthur,Say You Won't Let Go,2016-09-09,track,Say You Won't Let Go
MC Kevinho,Olha A Explosão,2016-12-15,track,Olha A Explosão
Haze,BARR10,2016-02-05,track,Diablo (feat. Elena Vargas)
Los Rebujitos,Tras la Máscara,2016-05-20,track,Lo Que Me Gusta de Ti
Reik,Des/Amor,2016-06-17,track,Ya Me Enteré
Ariana Grande,Dangerous Woman,2016-04-01,track,Side To Side
The Weeknd,Starboy,2016-11-25,track,I Feel It Coming
BLACKPINK,SQUARE ONE,2016-08-08,track,BOOMBAYAH
Ariana Grande,Dangerous Woman,2016-04-01,track,Into You
Kygo,Cloud Nine,2016-05-13,track,Stole the Show
Morat,Sobre El Amor Y Sus Efectos Secundarios,2016-06-17,track,Aprender A Quererte
Alejandro Sanz,Deja Que Te Bese,2016-07-15,track,Deja Que Te Bese
Drake,Views,2016-05-06,track,Hotline Bling
Bruno Mars,24K Magic,2016-11-17,track,24K Magic
Fifth Harmony,7/27 (Deluxe),2016-05-27,track,Work from Home (feat. Ty Dolla $ign)
Kungs,Layers,2016-11-04,track,This Girl (Kungs Vs. Cookin' On 3 Burners)
Ariana Grande,Dangerous Woman,2016-04-01,track,Dangerous Woman
