nombre_artista,album,fecha,tipo,track
The Strokes,Future Present Past,2016-06-03,track,Threat of Joy
Green Day,Revolution Radio,2016-10-07,track,Bang Bang
Sleeper,Inbetweener - The Best of Sleeper,2016-04-15,track,Atomic
State of Mine,Devil in Disguise,2016-09-15,track,Rise
American Authors,What We Live For,2016-07-01,track,I'm Born To Run
blink-182,California (Deluxe Edition),2016-07-01,track,Bored to Death
Skillet,Unleashed,2016-08-05,track,I Want to Live
Radiohead,A Moon Shaped Pool,2016-05-08,track,Glass Eyes
Airbag,Mentira La Verdad,2016-09-16,track,Colombiana
The Strokes,Future Present Past,2016-06-03,track,Oblivius
David Bowie,Blackstar,2016-01-08,track,Lazarus
Red Hot Chili Peppers,The Getaway,2016-06-17,track,The Longest Wave
Skillet,Unleashed,2016-08-05,track,Back from the Dead
Radiohead,A Moon Shaped Pool,2016-05-08,track,Burn the Witch
Red Hot Chili Peppers,The Getaway,2016-06-17,track,Go Robot
BABYMETAL,Metal Resistance,2016-04-01,track,Karate
Volbeat,Seal The Deal & Let's Boogie (Deluxe),2016-06-03,track,Black Rose
Red Hot Chili Peppers,The Getaway,2016-06-17,track,The Getaway
Radiohead,A Moon Shaped Pool,2016-05-08,track,Present Tense
Metallica,Hardwired…To Self-Destruct,2016-11-18,track,Moth Into Flame
Red Hot Chili Peppers,The Getaway,2016-06-17,track,Goodbye Angels
Radiohead,A Moon Shaped Pool,2016-05-08,track,Daydreaming
Landon McNamara,A Dollar Short & A Minute Late,2016-12-02,track,Time To Waste
Joe Bonamassa,Blues Of Desperation,2016-03-25,track,Drive
Radiohead,A Moon Shaped Pool,2016-05-08,track,Decks Dark
Volbeat,Seal The Deal & Let's Boogie (Deluxe),2016-06-03,track,For Evigt
Saliva,"Love, Lies & Therapy",2016-06-10,track,They Don't Care About Us
Los Destellos,Sicodélicos,2016-08-01,track,Guajira Sicodélica
The Mystery Lights,The Mystery Lights,2016-06-24,track,What Happens When You Turn the Devil Down
The Cat Empire,Rising with the Sun,2016-03-04,track,Qué Será Ahora
THE ORAL CIGARETTES,FIXION,2016-01-05,track,Kyouran Hey Kids!!
B-Movie,Climate of Fear: Deluxe Edition,2016-03-18,track,Nowhere Girl (Extended)
Wilco,Schmilco,2016-09-06,track,If I Ever Was a Child
Sweet,"Fox on the Run (from the ""Guardians of the Galaxy 2"" Trailer)",2016-12-16,track,Fox on the Run - Single Version
Skillet,Unleashed,2016-08-05,track,The Resistance
Radiohead,A Moon Shaped Pool,2016-05-08,track,True Love Waits
Zoé,Archivos Vol. 2: Duetos,2016,track,Nada
Phil Collins,The Singles (Expanded),2016-10-14,track,True Colors - 2016 Remaster
KALEO,A/B,2016-06-10,track,Hot Blood
Red Hot Chili Peppers,The Getaway,2016-06-17,track,Sick Love
Airbag,Mentira La Verdad,2016-09-16,track,Cicatrices
Elefantes,nueve canciones de amor y una de esperanza,2016-01-22,track,Duele (feat. Bunbury)
Pixies,Head Carrier,2016-09-30,track,All I Think About Now
Black Sabbath,The Ultimate Collection,2016-10-28,track,Paranoid
Skillet,Unleashed,2016-08-05,track,Feel Invincible
Phil Collins,The Singles (Expanded),2016-10-14,track,Against All Odds (Take a Look at Me Now) - 2016 Remaster
Metallica,Hardwired…To Self-Destruct (Deluxe),2016-11-18,track,Hardwired
Ghost,Meliora (Deluxe Edition),2016-09-16,track,Square Hammer
Red Hot Chili Peppers,The Getaway,2016-06-17,track,Dark Necessities
