nombre_artista,album,fecha,tipo,track
Wim Mertens,"What are we, locks, to do?",2016-06-03,track,Mixed with hellebore
Bohuslav Martinů,Martinů: Julietta,2016-06-10,track,"Julietta, Act II (Sung in German): Ah, endlich da!"
Bohuslav Martinů,Martinů: Julietta,2016-06-10,track,"Julietta, Act II (Sung in German): Vater, alles was heute geschieht, ist wundersam"
Bohuslav Martinů,Martinů: Julietta,2016-06-10,track,"Julietta, Act II (Sung in German): Guten Abend, meine Herrn und Damen!"
Bohuslav Martinů,Martinů: Julietta,2016-06-10,track,"Julietta, Act II (Sung in German): Mesdames et Messieurs"
Bohuslav Martinů,Martinů: Julietta,2016-06-10,track,"Julietta, Act II (Sung in German): Pardon! Monsieur!"
Bohuslav Martinů,Martinů: Julietta,2016-06-10,track,"Julietta, Act III (Sung in German): Alles leer!"
Bohuslav Martinů,Martinů: Julietta,2016-06-10,track,"Julietta, Act II (Sung in German): Sie verlor'n!"
Johann Sebastian Bach,Oratorio de Navidad,2016-12-17,track,"Christmas Oratorio, BWV 248, Cantata 1: Ach mein herzliebes Jesulein! (Chorus)"
Bohuslav Martinů,Martinů: Julietta,2016-06-10,track,"Julietta, Act II (Sung in German): Hoffentlich folgen sie mir nicht?"
Johann Sebastian Bach,Oratorio de Navidad,2016-12-17,track,"Christmas Oratorio, BWV 248, Cantata 2: Coro: Ehre sei Gott in der Höhe"
Bohuslav Martinů,Martinů: Julietta,2016-06-10,track,"Julietta, Act II (Sung in German): Gnade, Freunde, Gnade!"
Ludwig van Beethoven,ベートーヴェン：ピアノ・ソナタ 第 30番、第 31番、第 32番,2016-03-30,track,"ピアノ・ソナタ 第 30番 ホ長調, 作品 109: 1. Vivace, ma non troppo"
Joseph Haydn,Haydn: Opera Gala,2016-01-01,track,"La vera costanza, Hob. XXVIII:8, Act II: Ah, dov'è la mia Rosina?"
Johann Sebastian Bach,"Bach: Magnificat en ré mineur, BWV 243 Kuhnau: Wie schön leuchtet der Morgenstern",2016-11-01,track,"Magnificat en ré majeur, BWV 243: II. Et exsultavit"
Johann Sebastian Bach,"Bach: Magnificat en ré mineur, BWV 243 Kuhnau: Wie schön leuchtet der Morgenstern",2016-11-01,track,"Magnificat en ré majeur, BWV 243: VII. Et misericordia"
Ludwig van Beethoven,ベートーヴェン：ピアノ・ソナタ 第 30番、第 31番、第 32番,2016-03-30,track,"ピアノ・ソナタ 第 30番 ホ長調, 作品 109: 3. Gesangvoll, mit innigster Empfindung: Andante molto cantabile ed espressivo"
Johann Sebastian Bach,Bach: The Gamba Sonatas,2016-11-04,track,"Viola da Gamba Sonata in D Major, BWV 1028: IV. Allegro"
Christoph Willibald Gluck,"Gluck: Iphigenia auf Tauris (Iphigenia in Tauris), Wq. 46",2016-07-01,track,"Iphigenia auf Tauris, Wq. 46, Act IV: Act IV Scene 2: O siehe, Gottin, unsre Tranen (Iphigenie, Orestes, Chorus)"
Wolfgang Amadeus Mozart,Whispering Mozart,2016-11-16,track,"Lobegesang auf die feierliche Johannisloge, K. 148, ""O heiliges Band der Freundschaft"""
George Frideric Handel,"Handel: Imeneo, HWV 41",2016-02-26,track,"Imeneo, HWV 41: Act I: Overture"
Manuel de Falla,Spanish Guitar Masterpieces,2016-10-28,track,"El Sombrero de 3 Picos: El sombrero de 3 picos (The 3-Cornered Hat), Part II: Dance of the Corregidor (arr. S. Behrend for guitar)"
Julia Wolfe,The Stone People,2016-02-12,track,Compassion
Nithyasree Mahadevan,Sri Kamakoti Peetam Alum Maha Periyava,2016-05-22,track,Dhudharinne Mudhalvan
Richard Strauss,Strauss: Ein Heldenleben / Intermezzo: Four Symphonic Interludes,2016-03-11,track,"Ein Heldenleben, Op. 40: 4. Des Helden Walstatt"
Fritz Kreisler,From Fritz to Django,2016-01-01,track,Chanson Louis XIII and Pavane in the Style of Couperin
Johann Sebastian Bach,"Claudio Arrau Plays Mozart & Bach - The Early Recordings, Vol. I",2016-08-26,track,"Sinfonia No. 2 in C Minor, BWV 788 - Remastered"
Tanburi Cemil Bey,Tanburi Cemil Bey Külliyatı,2016-03-04,track,İsfahan Taksim (Viyolonsel)
Wolfgang Amadeus Mozart,Mozart: Waisenhausmesse (Live),2016-05-27,track,"Waisenhausmesse, K. 139, 47a: Qui tollis – Quoniam tu solus - Live"
Dimanche FR,Luxury Classical Collection for Healthy Babies,2016-11-23,track,"Symphony No.1 In C Minor, Op.68 - II. and ante sostenuto"
Albert Roussel,"Roussel: Piano Works, Vol. 2",2016-08-05,track,"Des heures passent, Op. 1: I. Graves et legeres"
Alban Berg,"Ernest Ansermet Collection, Vol. 2: War Requiem, Pt. 2 de Britten et Sept Lieder de jeunesse de Berg",2016-11-16,track,Sept Lieder de jeunesse: VII. Jours d'été
Tushar Dutta,Best of Bandish Fusion,2016-09-19,track,Kesariya Balam
Karol Szymanowski,Chopin & Szymanowski,2016-05-23,track,"Etude, Op. 33, No. 7"
Charles Koechlin,Un siècle de musique française,2016-03-25,track,"The Seven Stars' Symphony, Op. 132: V. Marlene Dietrich"
Dimanche FR,Collection of Luxury Classicals for Healing and Meditation,2016-02-16,track,"Violin Concerto No.2 In B Minor, Op.7 - II. Adagio"
George Frideric Handel,"Handel in Italy, Vol. 2",2016-09-02,track,"Dalla guerra amorosa in B-Flat Major, HWV 102a: La belezza è come un fiore"
