nombre_artista,album,fecha,tipo,track
Rocío Dúrcal,"Cómo Han Pasado los Años...10 Años Sin Rocío Dúrcal (Sus Mejores Rancheras, Boleros, Tangos y Baladas)",2016-03-18,track,Hay Amores y Amores
Sombra y Luz,Reencuentro,2016-02-08,track,Sola
Fleur East,Supershore,2016-02-19,track,Sax
Tino Casal,De la piel del diablo. La colección definitiva,2016-09-16,track,La piel del diablo - 2016 Remastered Version
JENCARLOS,GH Vip 2016,2016-02-26,track,Baby - Chris Jedi / Supa Dups Remix
DJ Antoine,#wokeuplikethis,2016-09-24,track,#wokeuplikethis - Champagne Gold Radio Edit
Sergio Dalma,Carácter Latino Classic 2016,2016-06-24,track,Eres
Loquillo,Ñ. El disco del año (2016),2016-12-02,track,En el final de los días
El Palacio de Linares,Ataque de Amor,2016-05-15,track,Si Fueras Mi Novia
Marco Mengoni,Liberando Palabras,2016-02-19,track,Nada es para siempre
Bomba Estéreo,"Mujeres y Hombres y Viceversa, Vol. 7",2016-02-12,track,Fiesta - Remix
Tino Casal,De la piel del diablo. La colección definitiva,2016-09-16,track,Azúcar moreno - 2016 Remastered Version
Marco Mengoni,Liberando Palabras,2016-02-19,track,A un segundo de tu piel
Rosana,Ñ. El disco del año (2016),2016-12-02,track,El cielo que me das
Los Rebeldes,Grandes Momentos,2016-12-21,track,Billy la Roca - En Vivo
Felix Jaehn,GH Vip 2016,2016-02-26,track,Book Of Love - Radio Edit
Los Rebeldes,A Flor de Piel,2016-11-04,track,La Gloria del Hombre
Pablo Alborán,Carácter Latino Classic 2016,2016-06-24,track,La escalera
Felix Jaehn,Disco Estrella Vol. 19 (Los Auténticos Éxitos Del Verano 2016),2016-05-27,track,Book Of Love - Radio Edit
Juventud Juché,Movimientos,2016-03-11,track,Pasos
Kañasur,Vuelvo a Sentir,2016-09-26,track,Agua Que No He de Beber
Sigala,Now 2016,2016-06-24,track,Give Me Your Love (feat. Nile Rodgers)
KSHMR,Ibiza Mix & Caribe Mix 2016,2016-09-22,track,Bazaar - Official Sunburn Goa 2015 Anthem
Nada Surf,Peaceful Ghosts (Live),2016-10-28,track,Are You Lightning - Live
Sweet California,Carácter Latino Classic 2016,2016-06-24,track,No
Varry Brava,Safari Emocional,2016-11-18,track,Entre el Cielo y el Mar
John Newman,Gran Hermano 17,2016-11-04,track,Olé
Extraperlo,Chill Aquí,2016-02-05,track,Lo Nuevo y Lo Viejo
Baby K,50 Latin Hits 2016,2016-10-28,track,Roma - Bangkok (feat. Giusy Ferreri) - Spanish Version
Bastille,Mad Cool Festival 2016,2016-06-17,track,Pompeii
Maki,Carácter Latino Classic 2016,2016-06-24,track,Cuéntame (feat. Helena)
Nyno Vargas,Ñ. El disco del año (2016),2016-12-02,track,Inolvidable
Cristian Guerrero,Gran Hermano 17,2016-11-04,track,Los Corazones Perdíos - Tangos
Paty Cantú,Gran Hermano 17,2016-11-04,track,Rompo Contigo
David Barrull,Las Canciones De Qué Tiempo Tan Feliz,2016-05-06,track,Te Pienso Sin Querer
Soraya,Gran Hermano 17,2016-11-04,track,Long Time
Neleonard,Las Causas Perdidas,2016-09-09,track,Menos De Mí
Fernando Castro,Vente Conmigo,2016-04-01,track,Las Heridas del Amor
DMEI,Ñ. El disco del año (2016),2016-12-02,track,Es tu amor
Duo Dinamico,Del guateque al Sonorama. 20 Canciones Imprescindibles,2016-07-11,track,Dime por qué
Rulo y la contrabanda,Ñ. El disco del año (2016),2016-12-02,track,Me gusta
El Palacio de Linares,Ataque de Amor,2016-05-15,track,Los Peces
Scotty,On the Move (Take Me Away) (Remixes),2016-03-25,track,On the Move - Radio Edit
Monoir,The Violin Song,2016-11-18,track,The Violin Song - Radio Edit
Texxcoco,Blu,2016-04-22,track,Fire
Cristian Guerrero,La Bienal De Flamenco Sevilla 19 (2016 8 Sep 2 Oct),2016-09-02,track,Los Corazones Perdíos - Tangos
Juventud Juché,Movimientos,2016-03-11,track,Bien
Pablo Und Destruktion,Extranjera,2016-09-16,track,Extranjera
Nada Surf,Rushing,2016-03-03,track,Rushing
Fernando Caro,En Estado Puro,2016-01-13,track,Pobre de Mí
Duo Dinamico,EGB: Las tardes de guateque,2017-11-03,track,Quince años tiene mi amor
Pablo López,Mujeres Y Hombres Y Viceversa (Vol. 8),2017-02-10,track,Hijos Del Verbo Amar
Dimitri Vegas & Like Mike,Hey Baby (Remixes),2017-01-20,track,Hey Baby - Blasterjaxx Remix
Tasmin Archer,De los 90,2017-06-12,track,Sleeping Satellite - 7'' Version
Rulo y la contrabanda,Carácter Latino Classic 2017,2017-06-23,track,Noviembre
Murciano Total,Cencia,2017-04-28,track,Cencia 1 (No Sabes Nada Sobre Mí)
Luis Fonsi,Zapeando El Verano (Todos Los Éxitos Del Programa),2017-06-23,track,Despacito
Manuel Medrano,Manuel Medrano,2017-02-10,track,Afuera Del Planeta
La Unión,Pop Español 2017,2017-01-17,track,Negrita
DNCE,Superventas 2017,2017-02-24,track,Cake By The Ocean
Joe Crepúsculo,Las Nanas,2017-11-24,track,Fiesta de Pijamas
Juan Magán,Superventas 2017,2017-02-24,track,Quiero Que Sepas
Rasel,Ñ: El disco del año (2017),2017-12-01,track,La consulta (feat. Bebe & Xantos)
