nombre_artista,album,fecha,tipo,track
Gari,Estutu,2016-11-11,track,Berlin
Joan Colomo,Sistema,2016-03-11,track,Eclipse de Sol
Familia Caamagno,Para Unha Vez Que Saímos,2016-03-04,track,Fuga de cerebros
Los Negativos,Duplexin,2016-01-15,track,Callejeando en Soledad
Igor Paskual,Viviendo en la entropía,2016-06-03,track,Viviendo en la entropía
Los Hermanos Cubero,Arte Y Orgullo,2016-09-15,track,¿Quién Electrificaría Su Alma?
Sergio Dalma,Carácter Latino Classic 2016,2016-06-24,track,Eres
Loquillo,Ñ. El disco del año (2016),2016-12-02,track,En el final de los días
Petti,Hotzikarak,2016-04-15,track,Ez barkatzen
Lauroba,IV,2016-04-12,track,Mila bider
Altxatu,Hegalen Indarraz Aitzina,2016-10-14,track,Ez dut nahi
Bomba Estéreo,"Mujeres y Hombres y Viceversa, Vol. 7",2016-02-12,track,Fiesta - Remix
Jammin´ Dose,Deadline,2016-04-01,track,Lonely Wanderer
Los Rebeldes,Grandes Momentos,2016-12-21,track,Billy la Roca - En Vivo
Los Rebeldes,A Flor de Piel,2016-11-04,track,La Gloria del Hombre
Aerolineas Federales,No Todo Es Lo Que Parece (Live),2016-11-25,track,Telephone Zombie - Live
Aerolineas Federales,No Todo Es Lo Que Parece (Live),2016-11-25,track,No Sé Ligar - Live
Pep Sala,Ops! Mireu què he fet,2016-04-16,track,No em diguis mai adéu
Los Negativos,Duplexin,2016-01-15,track,Bollo de Canela
Arco,Ñ. El disco del año (2016),2016-12-02,track,Un día perfecto
Nocturnos,Hemos Visto Lobos,2016-04-07,track,El Polo Positivo
Cybee,Viatge a Mu,2016-03-11,track,TN
Comandante Twin,Arritmia,2016-04-15,track,La Isla del Deseo
Los Negativos,Duplexin,2016-01-15,track,Más Allá de Mí
Gari,Estutu,2016-11-11,track,Yase
Physis Versus Nomos,Saudade É Fatal 2,2016-07-22,track,Zenbaterainoko drama
Aerolineas Federales,No Todo Es Lo Que Parece (Live),2016-11-25,track,La Canción Que No Escribí - Live
Eskean Kristö,Ezkurrik Onenak,2016,track,Otso Basati
Rukula,Rukula,2016-01-10,track,Thundra
Maki,Carácter Latino Classic 2016,2016-06-24,track,Cuéntame (feat. Helena)
Embusteros,El ascensor,2016-11-25,track,El ascensor
Lauroba,IV,2016-04-12,track,Errautsak
Bantastic Fand,Welcome to Desert Town,2016-01-01,track,Down the River
Petti,Hotzikarak,2016-04-15,track,Puskatu egin nintzen
The Prussians,Kerala,2016-02-29,track,Dangerous Road
Bastille,Mad Cool Festival 2016,2016-06-17,track,Pompeii
Xiula,5472 m,2016-04-15,track,De nit
Pep Sala,Ops! Mireu què he fet,2016-04-16,track,Si un dia he de tornar
